"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
255,221,90,290,185,381,299,393,787,223,206
249,270,84,219,234,410,314,454,616,290,232
245,195,114,200,199,421,235,443,721,301,208
253,210,108,290,300,485,276,449,717,349,203
250,242,88,373,199,442,350,452,654,220,224
218,276,109,211,415,481,306,456,835,262,260
238,264,120,275,387,559,509,487,780,237,241
257,207,141,245,338,588,628,465,798,362,255
260,256,133,271,321,568,645,425,740,354,263
192,251,130,244,481,649,553,462,798,290,189
255,252,145,310,333,516,424,427,615,340,209
289,236,127,162,292,377,277,338,469,267,224
268,221,158,191,224,384,277,288,379,241,175
207,212,115,266,173,338,290,285,455,235,157
408,387,197,426,223,663,479,383,874,501,243
186,200,101,167,139,342,216,283,634,256,171
174,196,118,184,96,427,269,283,634,260,195
217,212,115,234,111,359,233,393,688,283,208
258,274,150,245,173,389,285,321,758,310,247
188,218,137,185,89,372,305,306,882,309,235
193,180,130,232,103,398,279,351,594,290,214
213,216,126,300,108,421,288,395,748,365,273
242,251,123,304,137,421,322,316,735,445,273
230,246,141,162,108,388,305,323,634,319,280
168,216,127,466,119,376,291,346,572,301,247
178,146,90,237,158,312,306,302,595,275,255
192,175,111,248,140,338,308,260,543,252,303
197,210,93,215,146,326,290,239,595,283,272
277,195,98,205,186,327,329,279,607,312,292
263,282,124,276,179,435,329,328,557,326,323
246,280,99,350,216,389,376,343,518,343,321
255,208,50,284,191,488,360,295,518,345,268
318,232,104,262,197,388,384,310,684,327,295
338,270,135,232,194,417,610,273,685,327,303
396,369,122,220,186,528,877,350,665,424,393
466,327,149,350,246,594,365,411,596,426,370
357,221,155,228,188,391,332,415,693,402,295
364,256,100,297,269,440,332,336,646,378,313
309,330,144,219,167,544,341,365,646,424,273
292,192,134,289,308,498,305,414,588,369,269
311,211,94,275,286,525,345,358,618,366,255
228,148,100,237,179,431,246,337,550,318,232
231,172,120,257,203,446,292,295,473,306,245
294,191,98,255,187,423,285,267,499,319,232
301,190,122,253,202,426,349,300,571,268,232
269,206,90,182,187,444,360,279,650,352,243
262,203,67,273,163,430,374,316,636,398,243
263,240,119,257,191,441,314,365,646,389,247
228,257,111,309,234,417,329,354,705,343,285
213,188,68,257,199,393,246,369,864,359,256
216,236,97,224,191,408,319,322,930,343,258
255,212,105,324,318,450,349,414,637,343,278
186,220,80,366,367,497,403,393,1054,370,353
188,266,128,273,436,577,403,427,959,380,317
247,269,150,449,498,621,447,519,985,381,334
269,261,150,432,402,689,460,579,1186,479,328
246,310,180,495,481,561,416,488,985,469,384
243,280,149,469,449,427,461,545,992,381,426
225,269,133,395,389,628,461,471,833,488,356
246,200,144,404,378,599,509,442,644,360,333
279,252,159,343,316,549,478,377,833,386,313
264,282,163,361,316,594,399,398,740,340,286
263,252,143,275,338,576,351,427,606,337,285
215,213,124,290,347,485,345,390,630,327,269
230,200,136,245,357,423,344,324,594,322,229
267,263,89,226,186,433,368,251,550,282,231
240,180,113,275,229,419,286,328,701,301,268
280,252,123,312,173,499,373,359,861,316,243
227,226,114,294,161,526,337,337,705,318,229
211,228,112,265,179,430,286,309,666,303,245
237,184,126,273,149,507,305,318,718,299,268
264,210,95,247,133,457,281,265,517,328,243
215,191,91,226,165,375,255,246,517,352,226
213,207,123,144,158,314,297,317,539,331,230
223,208,96,232,133,401,305,270,650,343,239
172,171,111,209,84,376,235,215,670,295,225
205,196,118,229,79,394,254,241,693,296,261
205,229,111,257,179,414,273,252,582,268,261
231,254,128,273,154,395,297,323,718,304,276
246,294,112,355,159,427,365,345,684,326,343
250,282,170,308,231,488,366,354,705,324,318
233,342,116,337,199,445,258,264,628,362,321
294,306,157,358,289,478,314,294,595,326,296
279,310,98,271,203,517,269,267,489,314,285
295,287,138,321,244,526,337,361,637,344,297
324,282,122,379,316,608,354,376,754,396,415
411,295,163,263,315,658,337,414,735,395,345
357,323,143,314,339,653,334,383,782,336,345
363,264,126,316,350,594,326,397,723,349,358
312,280,173,296,269,576,488,335,723,344,290
312,294,141,296,295,565,1053,364,666,366,316
326,266,127,251,193,531,877,302,644,336,306
247,230,135,232,146,523,460,285,730,290,285
264,232,138,220,167,507,337,354,730,315,266
355,252,131,220,193,565,918,300,598,355,272
310,280,150,217,205,520,610,288,614,345,250
258,266,141,251,191,429,610,305,623,314,235
266,222,129,216,114,437,646,355,731,289,264
265,221,137,220,94,382,305,309,730,317,263
244,203,144,175,183,352,315,322,661,259,217
245,242,129,171,113,278,456,300,614,334,253
224,180,114,164,114,281,410,308,644,301,230
210,170,117,226,79,314,385,301,706,290,230
214,187,137,218,105,295,254,317,688,287,253
187,160,114,205,159,309,347,281,625,382,229
196,146,111,181,101,279,332,301,633,276,230
210,151,108,237,158,395,295,246,693,292,214
176,147,91,165,244,343,308,226,649,275,214
240,143,124,257,162,404,357,275,689,303,245
176,200,135,164,208,388,365,287,761,296,282
147,187,98,273,229,450,306,295,673,261,242
160,157,127,261,165,375,380,227,570,251,226
234,155,138,238,198,449,320,257,614,260,214
158,257,141,224,204,360,290,184,537,260,182
187,170,88,205,158,375,263,201,565,265,189
164,167,104,178,132,369,200,261,521,221,160
171,221,88,217,244,339,194,306,520,235,163
170,158,77,178,84,333,173,271,441,167,206
190,144,81,163,85,367,189,265,449,204,144
