"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
215.6,183,158,179,204,363,251.96,311,464,233,185
209,202.04,135,174,229,291,216,305,658.62,239,206
216,223.33,135,219,244,373,237,385,651,276.46,236
275,261,150,215,219.14,377,273,327,695,294,253
327,360,154.94,207,265,342,275,415,683,285,264
365,330,155,238,291,500.64,401.01,427,694.08,337,295
300.66,352,136,262,374,490.67,386,407.59,660,327.51,253
326,325,114,208,238,400,341,369,684.28,338,174
319.67,301,117,209,351,485,363,411,710,354,300
439,294,147,228,328,467,368,390.78,739,338,305
299.81,324,116,189,321,440,336,405,683.29,313,261
348,275.33,135,176,289,475,355.68,323,786,302,219
250.48,221,128.35,210,368,503,355,376,690,292.45,188
316,287.99,140.8,180,254,424,310,354.07,687.42,308.99,266.22
306,233,120.45,194,199,375,308,300,693,299,242.52
316,260.51,70,304,203,470.7,334,317,623,361.69,291.04
285,219,75,195.95,223.73,396,295.12,339.58,617,273,182
230,288,158.61,140,170,336.12,234,286,533,215,163
250,195,73,147,222,435,283,298,615,268.43,172
253,215.62,77,166,258,365,267,303,633.65,247.49,218.05
229,234,93,338,185,342,250,321.38,639,229,162
263,244,134.41,202,176,358,267,442,586,234,167
244,220,91,302,263,395,302.93,443,682,303.64,224
264.36,231.45,69,239.57,232.98,530,300,349.07,791,321.49,227
255,221,90,290,208.33,381,299,338.29,787,223,206
249,217.5,84,219,234,410,296.83,454,616,290,232
245,195,114,200,240.56,421,235,443,721,301,236.76
253,210,108,290,300,458.88,276,449,717,349,203
250,234.97,88,373,290.66,442,350,452,654,220,222.54
218,276,109,204.34,415,481,360.91,401.59,835,262,260
238,246.39,139.670980392157,249.77,387,559,509,487,780,237,241
257,207,134.43,278.99,349.28,588,628,465,798,362,255
260,256,133,271,321.29,568,645,425,693.99,354,263
192,251,130,244,481,649,553,462,859.94,290,189
255,251.99,145,310,333,516,424,401.99,615,340,209
289,236,127,161.78,292,413.46,277,338,469,267,224
268,204.62,102.9,191,224,384,277.28,288,379,241,175
207,212,121.86,266,173,338,290,285,455,235,157
408,387,197,426,223,663,479,399.55,874,501,243
186,200,101,175.7,152.08,342,216,274.5,602.31,256,171
174,189.23,117.64,184,96,427,269,283,604.92,260,195
217,209.48,125.07,234,111,359,233,393,688,283,208
269.13,274,128.6,245,212.48,389,285,321,758,310,247
188,218,137,185,89,372,316.5,306,882,309,235
193,201.97,130,232,103,398,279,351,594,295.38,241.07
213,216,107.57,300,108,425.5,288,395,748,365,242.59
242,251,111.5,304,137,421,322,316,735,445,273
243.03,246,118.86,272.48,108,423.58,305,323,634,319,280
168,214.99,114.1,466,119,414.58,291,346,572,301,247
178,146,90,237,139.93,312,306,302,595,275,255
192,175,111,248,140,374.88,308,260,543,252,303
202.86,186.38,93,215,146,326,290,239,620.73,283,272
277,195,98,231.22,186,327,329,279,607,312,292
263,282,124,276,179,435,329,328,557,326,323
275.95,261.15,99,350,216,389,376,343,518,322.75,321
263.08,208,50,284,191,488,328.65,311.21,518,345,268
318,260.19,104,262,197,450.33,409.9,310,635.91,347.15,295
338,258.22,125.23,232,194,417,364.23,273,685,327,303
396,369,122,309.51,186,528,501.91,350,665,424,393
466,327,149,350,246,529.37,365,411,596,426,370
