periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_missF_5
2018-01-07,177.0,154.0,120.0,93.0,156.0,320.0,169.0,306.0,536.0,180.0,176.0,2387.0
2018-01-14,143.0,170.01,175.0,134.0,174.0,283.0,206.0,266.0,500.0,182.0,193.0,2426.01
2018-01-21,163.0,166.0,147.0,124.46,208.0,227.0,211.0,257.0,473.0,206.0,199.55,2382.01
2018-01-28,136.0,136.0,118.0,122.0,167.0,210.0,220.0,257.0,449.0,216.0,258.0,2289.0
2018-02-04,122.0,144.0,134.0,93.0,201.0,204.0,184.0,275.47,466.0,199.0,218.0,2240.4700000000003
2018-02-11,195.0,145.0,164.0,90.0,198.0,222.0,217.0,244.0,571.0,219.0,172.0,2437.0
2018-02-18,135.0,163.0,157.0,114.0,181.0,221.0,179.0,241.0,560.0,165.0,233.0,2349.0
2018-02-25,160.8,137.0,188.0,124.0,196.0,222.0,192.0,278.84,628.0,144.0,216.0,2486.64
2018-03-04,144.0,138.0,158.0,170.0,182.0,198.0,197.0,331.0,529.0,130.0,160.0,2337.0
2018-03-11,145.0,198.0,170.0,115.0,207.0,232.0,218.0,301.0,647.0,179.0,167.0,2579.0
2018-03-18,219.25,212.0,196.0,181.0,313.0,317.0,256.0,289.0,640.0,214.0,247.0,3084.25
2018-03-25,214.0,245.0,245.0,207.0,349.0,395.0,292.0,273.0,703.0,259.0,355.0,3537.0
2018-04-01,256.0,384.0,211.0,274.0,426.0,360.0,328.0,349.0,682.0,299.0,380.0,3949.0
2018-04-08,264.0,343.0,205.0,269.0,305.6,364.0,301.0,384.0,637.0,297.0,323.0,3692.6
2018-04-15,298.0,365.0,191.0,266.0,411.0,373.0,334.0,355.0,617.0,303.0,379.0,3892.0
2018-04-22,310.0,322.0,225.0,290.0,391.0,585.0,338.0,388.0,644.0,340.0,364.0,4197.0
2018-04-29,328.0,493.0,252.0,316.0,471.0,624.0,383.0,425.0,648.0,312.0,470.0,4722.0
2018-05-06,282.0,432.0,205.0,202.0,364.0,419.0,298.0,402.0,554.0,291.0,443.0,3892.0
2018-05-13,316.0,346.0,218.0,196.0,367.0,459.0,300.0,442.0,645.0,280.0,446.0,4015.0
2018-05-20,266.0,342.0,178.0,237.0,374.0,384.0,336.0,415.0,702.0,335.0,395.0,3964.0
2018-05-27,265.0,359.97,192.91,251.0,377.0,421.0,332.33,437.0,658.0,320.46,464.0,4078.67
2018-06-03,250.0,343.0,165.0,242.78,397.0,511.0,332.0,393.0,580.0,299.0,352.0,3864.7799999999997
2018-06-10,251.0,262.0,188.0,159.0,345.0,408.0,308.0,322.0,555.0,223.0,338.0,3359.0
