periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_MICE_20
2018-01-07,177,229,120.0,93,103,320,169,306,536,221,176,2450.0
2018-01-14,156,143,175.0,134,174,299,206,266,500,182,193,2428.0
2018-01-21,147,234,147.0,108,208,227,211,257,473,206,230,2448.0
2018-01-28,136,201,129.0,114,167,210,220,257,473,216,258,2381.0
2018-02-04,190,144,134.0,93,173,204,184,191,466,199,218,2196.0
2018-02-11,195,145,164.0,90,198,222,184,309,731,219,172,2629.0
2018-02-18,194,163,157.0,124,181,221,179,241,596,165,233,2454.0
2018-02-25,127,137,188.0,124,196,222,192,281,628,144,216,2455.0
2018-03-04,144,167,158.0,170,182,198,197,261,529,130,160,2296.0
2018-03-11,156,198,170.0,136,207,232,194,281,670,179,156,2579.0
2018-03-18,159,212,196.0,181,313,317,256,289,640,214,247,3024.0
2018-03-25,214,245,245.0,207,349,395,292,273,703,259,355,3537.0
2018-04-01,256,340,211.0,274,321,360,328,349,682,299,438,3858.0
2018-04-08,264,343,205.0,269,265,364,301,384,637,297,323,3652.0
2018-04-15,164,342,191.0,266,411,373,334,355,617,203,383,3639.0
2018-04-22,310,322,225.0,290,391,585,338,425,644,327,364,4221.0
2018-04-29,328,493,252.0,316,471,559,383,425,648,289,470,4634.0
2018-05-06,282,432,205.0,174,364,419,298,402,554,291,324,3745.0
2018-05-13,246,346,218.0,196,367,459,300,316,645,280,272,3645.0
2018-05-20,266,342,178.0,237,374,384,336,415,702,335,395,3964.0
2018-05-27,265,320,201.0,308,377,421,336,437,658,291,464,4078.0
2018-06-03,250,343,222.0,235,452,511,332,393,580,299,352,3969.0
2018-06-10,217,262,188.0,159,345,327,308,322,555,223,338,3244.0
2018-06-17,251,230,159.0,144,316,363,280,258,449,174,261,2885.0
2018-06-24,255,280,188.0,171,395,423,332,405,635,275,302,3661.0
2018-07-01,279,259,138.0,165,176,381,319,340,622,319,302,3300.0
2018-07-08,220,221,130.0,144,353,388,290,284,719,246,188,3183.0
2018-07-15,207,229,161.0,114,309,317,194,306,608,227,334,3006.0
2018-07-22,264,192,116.0,136,317,300,239,288,674,216,236,2978.0
2018-07-29,251,252,131.0,145,229,343,238,305,647,206,264,3011.0
2018-08-05,228,178,111.0,115,229,368,195,253,663,218,193,2751.0
2018-08-12,217,195,108.0,133,238,287,245,319,747,259,276,3024.0
2018-08-19,223,178,135.0,167,263,324,254,352,520,238,286,2940.0
2018-08-26,192,155,151.0,163,143,264,221,317,614,206,179,2605.0
2018-09-02,196,266,161.0,187,249,332,194,377,754,280,338,3334.0
2018-09-09,242,232,166.0,133,481,329,231,390,929,297,388,3818.0
2018-09-16,219,260,222.0,211,333,399,319,425,945,281,376,3990.0
2018-09-23,153,229,166.0,154,412,403,280,436,943,307,295,3778.0
2018-09-30,211,274,189.0,274,463,438,305,441,927,351,344,4217.0
2018-10-07,219,264,124.0,182,460,533,322,468,1050,298,322,4242.0
2018-10-14,238,355,270.0,318,599,617,357,616,1090,388,438,5286.0
2018-10-21,260,332,260.0,316,603,674,429,577,1291,397,390,5529.0
2018-10-28,285,309,253.0,380,622,718,1053,614,1294,501,526,6555.0
2018-11-04,318,355,223.0,325,588,602,391,622,1160,293,429,5306.0
2018-11-11,278,346,255.0,248,550,591,354,577,908,385,354,4846.0
2018-11-18,218,311,196.0,227,466,559,386,401,985,382,335,4466.0
2018-11-25,199,386,188.0,263,440,569,353,473,891,378,286,4426.0
2018-12-02,250,298,143.0,286,342,434,364,437,679,360,354,3947.0
2018-12-09,232,263,153.0,75,295,470,258,338,637,291,223,3235.0
2018-12-16,188,143,91.0,138,271,437,252,324,686,295,173,2998.0
2018-12-23,164,147,77.0,245,241,391,237,273,556,183,241,2755.0
2018-12-30,107,185,147.0,114,147,325,194,274,556,122,146,2317.0
2019-01-06,195,144,91.0,114,122,245,192,271,596,144,164,2278.0
2019-01-13,194,177,166.0,143,85,334,160,279,733,163,163,2597.0
2019-01-20,210,251,163.0,153,113,256,213,306,731,239,157,2792.0
2019-01-27,173,226,188.0,157,113,310,215,272,710,242,214,2820.0
2019-02-03,229,201,159.0,226,368,530,337,383,766,267,241,3707.0
2019-02-10,227,233,173.0,146,139,342,220,303,563,213,183,2742.0
2019-02-17,164,192,77.0,160,162,338,225,307,659,250,218,2752.0
2019-02-24,253,234,208.0,174,177,337,385,385,540,295,191,3179.0
2019-03-03,227,251,131.0,162,175,382,293,293,633,236,168,2951.0
2019-03-10,270,270,164.0,155,203,291,250,309,613,228,227,2980.0
2019-03-17,294,280,158.0,181,219,281,281,311,565,259,290,3119.0
2019-03-24,243,340,211.0,270,178,350,296,374,640,287,276,3465.0
2019-03-31,281,310,196.0,288,246,388,283,395,735,299,450,3871.0
2019-04-07,300,456,218.0,247,471,404,273,371,705,342,384,4171.0
2019-04-14,328,369,205.0,258,429,435,347,352,577,274,327,3901.0
2019-04-21,349,458,270.0,340,429,450,295,401,683,345,181,4201.0
2019-04-28,371,559,218.0,326,391,647,366,441,827,341,396,4883.0
2019-05-05,299,322,237.0,320,569,568,354,405,690,253,438,4455.0
2019-05-12,294,459,218.0,196,426,437,233,395,793,328,494,4273.0
2019-05-19,294,441,150.0,469,532,677,340,302,733,261,526,4725.0
2019-05-26,309,369,109.0,380,569,617,333,437,721,380,532,4756.0
2019-06-02,296,274,123.0,93,176,324,308,252,732,330,281,3189.0
2019-06-09,255,274,124.0,192,452,509,610,456,623,267,281,4043.0
2019-06-16,334,327,206.0,183,425,628,334,466,630,317,146,3996.0
2019-06-23,308,379,161.0,166,510,575,451,399,635,301,273,4158.0
2019-06-30,264,310,168.0,204,362,522,381,451,792,324,131,3909.0
2019-07-07,318,363,166.0,124,316,629,353,364,682,275,111,3701.0
2019-07-14,294,210,98.0,215,261,557,368,409,827,337,116,3692.0
2019-07-21,294,231,115.0,93,309,524,334,414,748,251,97,3410.0
2019-07-28,293,239,11.0,88,378,403,357,278,796,187,268,3298.0
2019-08-04,255,234,127.0,165,391,451,384,371,637,322,329,3666.0
2019-08-11,174,211,173.0,315,391,499,322,443,842,267,239,3876.0
2019-08-18,265,264,162.0,209,444,361,275,481,962,304,301,4028.0
2019-08-25,278,196,79.0,81,254,490,366,288,1041,327,241,3641.0
2019-09-01,231,227,156.098039215686,71,506,377,338,19,466,172,275,2838.098039215686
2019-09-08,244,231,70.0,71,362,473,301,279,1024,338,297,3690.0
2019-09-15,221,184,37.0,80,176,450,306,338,900,377,172,3241.0
