periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_MICE_20
2019-09-22,273,236,132.0,77,378,484,367,347,518,307,241,3360.0
2019-09-29,182,241,65.0,86,443,494,406,367,954,330,283,3851.0
2019-10-06,197,280,205.0,231,543,484,326,551,992,328,281,4418.0
2019-10-13,190,206,147.0,271,497,493,399,488,1128,340,324,4483.0
2019-10-20,255,369,244.0,286,577,501,371,622,1214,342,470,5251.0
2019-10-27,237,313,195.0,241,402,460,373,564,1198,339,383,4705.0
2019-11-03,251,282,185.0,407,406,497,396,491,1029,313,401,4658.0
2019-11-10,327,352,169.0,229,347,434,384,460,614,340,340,3996.0
2019-11-17,209,214,180.0,261,223,350,387,363,703,327,305,3522.0
2019-11-24,217,229,162.0,317,231,410,346,288,640,322,272,3434.0
2019-12-01,192,137,147.0,209,183,384,406,371,783,299,256,3367.0
2019-12-08,200,213,162.0,157,217,395,315,330,623,232,260,3104.0
2019-12-15,232,125,123.0,249,218,332,290,385,598,232,173,2957.0
2019-12-22,232,137,93.0,45,224,373,221,308,567,240,167,2607.0
2019-12-29,231,141,124.0,45,136,242,252,158,596,195,111,2231.0
2020-01-05,197,167,108.0,71,105,299,237,158,596,156,163,2257.0
2020-01-12,173,201,131.0,118,83,272,236,265,595,190,130,2394.0
2020-01-19,174,187,129.0,117,111,243,206,265,563,226,185,2406.0
2020-01-26,231,189,115.0,115,132,220,222,258,596,231,154,2463.0
2020-02-02,176,202,115.0,116,146,299,208,261,671,211,182,2587.0
2020-02-09,162,201,122.0,170,161,292,251,257,653,174,148,2591.0
2020-02-16,152,198,135.0,114,131,299,199,158,529,185,179,2279.0
2020-02-23,159,200,124.0,162,152,368,261,291,634,187,161,2699.0
2020-03-01,170,191,145.0,146,196,406,265,283,577,221,228,2828.0
2020-03-08,156,185,161.0,108,140,287,234,307,654,198,130,2560.0
2020-03-15,186,146,139.0,211,191,367,276,454,562,216,169,2917.0
2020-03-22,169,208,147.0,153,185,394,253,327,630,203,197,2866.0
2020-03-29,150,171,177.0,256,194,405,224,280,594,239,156,2846.0
2020-04-05,270,183,158.0,179,204,363,255,311,464,233,185,2805.0
2020-04-12,209,221,135.0,174,229,291,216,305,499,239,206,2724.0
2020-04-19,216,220,135.0,219,244,373,237,385,651,261,236,3177.0
2020-04-26,275,261,150.0,215,159,377,273,327,695,294,253,3279.0
2020-05-03,327,360,260.0,207,265,342,275,415,683,285,264,3683.0
2020-05-10,365,330,155.0,238,291,565,357,427,637,337,295,3997.0
2020-05-17,348,352,136.0,262,374,588,386,324,660,349,253,4032.0
2020-05-24,326,325,114.0,208,238,400,341,369,660,338,174,3493.0
2020-05-31,357,301,117.0,209,351,485,363,411,710,354,300,3958.0
2020-06-07,439,294,147.0,228,328,467,368,411,739,338,305,4064.0
2020-06-14,199,324,116.0,189,321,440,336,405,793,313,261,3697.0
2020-06-21,348,280,135.0,176,289,475,281,323,786,302,219,3614.0
2020-06-28,243,221,116.0,210,368,503,355,376,690,267,188,3537.0
2020-07-05,316,360,109.0,180,254,424,310,227,533,330,323,3366.0
2020-07-12,306,233,90.0,194,199,375,308,300,693,299,229,3226.0
2020-07-19,316,221,70.0,304,203,389,334,317,623,380,321,3478.0
2020-07-26,285,219,75.0,181,208,396,308,227,617,273,182,2971.0
2020-08-02,230,288,90.0,140,170,337,234,286,533,215,163,2686.0
2020-08-09,250,195,73.0,147,222,435,283,298,615,292,172,2982.0
2020-08-16,253,177,77.0,166,258,365,267,303,644,261,156,2927.0
2020-08-23,229,234,93.0,338,185,342,250,281,639,229,162,2982.0
2020-08-30,263,244,122.0,202,176,358,267,442,586,234,167,3061.0
2020-09-06,244,220,91.0,302,263,395,265,443,682,299,224,3428.0
2020-09-13,238,221,69.0,255,173,530,300,369,791,424,227,3597.0
2020-09-20,255,221,90.0,290,271,381,299,363,787,223,206,3386.0
2020-09-27,249,148,84.0,219,234,410,406,454,616,290,232,3342.0
2020-10-04,245,195,114.0,200,149,421,235,443,721,301,161,3185.0
2020-10-11,253,210,108.0,290,300,568,276,449,717,349,203,3723.0
2020-10-18,250,143,88.0,373,249,442,350,452,654,220,268,3489.0
2020-10-25,218,276,109.0,164,415,481,308,364,835,262,260,3692.0
2020-11-01,238,280,178.0,309,387,559,509,487,780,237,241,4205.0
2020-11-08,257,207,245.0,286,378,588,628,465,798,362,255,4469.0
2020-11-15,260,256,133.0,271,429,568,645,425,962,354,263,4566.0
2020-11-22,192,251,130.0,244,481,649,553,462,985,290,189,4426.0
2020-11-29,255,274,145.0,310,333,516,424,359,615,340,209,3780.0
2020-12-06,289,236,127.0,205,292,410,277,338,469,267,224,3134.0
2020-12-13,268,201,77.0,191,224,384,254,288,379,241,175,2682.0
2020-12-20,207,212,99.0,266,173,338,290,285,455,235,157,2717.0
2020-12-27,408,387,197.0,426,223,663,479,519,874,501,243,4920.0
2021-01-03,186,200,101.0,143,202,342,216,311,630,256,171,2758.0
2021-01-10,174,163,88.0,184,96,427,269,283,758,260,195,2897.0
2021-01-17,217,148,98.0,234,111,359,233,393,688,283,208,2972.0
2021-01-24,244,274,123.0,245,333,389,285,321,758,310,247,3529.0
2021-01-31,188,218,137.0,185,89,372,273,306,882,309,235,3194.0
2021-02-07,193,151,130.0,232,103,398,279,351,594,275,130,2836.0
2021-02-14,213,216,159.0,300,108,399,288,395,748,365,229,3420.0
2021-02-21,242,251,126.0,304,137,421,322,316,735,445,273,3572.0
2021-02-28,216,246,145.0,304,108,391,305,323,634,319,280,3271.0
2021-03-07,168,143,79.0,466,119,433,291,346,572,301,247,3165.0
2021-03-14,178,146,90.0,237,84,312,306,302,595,275,255,2780.0
2021-03-21,192,175,111.0,248,140,360,308,260,543,252,303,2892.0
2021-03-28,224,146,93.0,215,146,326,290,239,500,283,272,2734.0
2021-04-04,277,195,98.0,86,186,327,329,279,607,312,292,2988.0
2021-04-11,263,282,124.0,276,179,435,329,328,557,326,323,3422.0
2021-04-18,294,229,99.0,350,216,389,376,343,518,366,321,3501.0
2021-04-25,250,208,50.0,284,191,488,384,352,518,345,268,3338.0
2021-05-02,318,280,104.0,262,197,375,341,310,693,237,295,3412.0
2021-05-09,338,263,70.0,232,194,417,285,273,685,327,303,3387.0
2021-05-16,396,369,122.0,350,186,528,386,350,665,424,393,4169.0
2021-05-23,466,327,149.0,350,246,594,365,411,596,426,370,4300.0
2021-05-30,357,330,170.0,228,188,391,349,415,608,402,352,3790.0
2021-06-06,364,282,100.0,297,191,400,332,336,787,378,313,3780.0
2021-06-13,309,330,144.0,219,309,544,403,365,833,424,273,4153.0
2021-06-20,292,280,134.0,289,308,498,305,414,588,369,261,3738.0
2021-06-27,311,211,94.0,275,286,525,488,358,618,366,255,3787.0
2021-07-04,264,148,100.0,237,198,431,292,337,550,318,218,3093.0
2021-07-11,231,172,120.0,196,203,446,292,295,473,306,245,2979.0
2021-07-18,294,191,37.0,255,187,423,285,295,499,319,232,3017.0
2021-07-25,301,190,122.0,253,202,426,349,337,571,268,154,3173.0
2021-08-01,269,206,90.0,182,224,444,360,322,650,352,243,3342.0
2021-08-08,262,203,67.0,189,163,430,374,281,636,398,243,3246.0
2021-08-15,281,240,119.0,257,191,441,314,365,646,389,247,3490.0
2021-08-22,228,257,111.0,309,244,417,221,354,705,343,285,3474.0
2021-08-29,213,188,68.0,257,203,393,246,369,864,359,247,3407.0
2021-09-05,216,236,97.0,224,191,408,319,322,930,345,258,3546.0
2021-09-12,200,212,105.0,324,318,450,349,414,580,315,278,3545.0
2021-09-19,186,220,80.0,366,367,549,403,393,1054,370,353,4341.0
2021-09-26,188,266,188.0,275,436,577,403,545,959,380,317,4534.0
2021-10-03,247,280,150.0,449,498,621,447,519,985,381,334,4911.0
2021-10-10,269,330,150.0,432,460,689,460,579,1186,479,328,5362.0
2021-10-17,246,310,180.0,495,481,561,416,488,985,469,384,5015.0
2021-10-24,243,280,149.0,469,449,663,461,545,992,366,426,5043.0
2021-10-31,225,269,133.0,395,389,628,461,471,908,488,356,4723.0
2021-11-07,228,200,144.0,404,378,599,509,442,718,386,333,4341.0
2021-11-14,279,252,159.0,343,321,549,478,377,833,386,313,4290.0
2021-11-21,311,432,163.0,361,316,594,399,398,740,340,286,4340.0
2021-11-28,258,252,143.0,275,338,576,351,427,606,337,285,3848.0
2021-12-05,215,213,147.0,290,347,485,345,390,630,327,269,3658.0
2021-12-12,294,200,130.0,245,357,585,344,324,594,315,229,3617.0
2021-12-19,267,276,89.0,226,191,433,368,251,550,282,231,3164.0
2021-12-26,240,180,113.0,275,229,419,286,328,701,294,272,3337.0
2022-01-02,280,256,123.0,312,173,499,373,359,861,316,243,3795.0
2022-01-09,255,226,114.0,294,161,526,337,337,740,318,229,3537.0
2022-01-16,211,228,112.0,265,179,430,368,309,666,281,217,3266.0
2022-01-23,237,184,126.0,273,149,507,386,318,654,299,268,3401.0
2022-01-30,264,210,95.0,247,133,457,281,265,683,328,243,3206.0
2022-02-06,215,191,91.0,226,111,343,255,246,517,352,226,2773.0
2022-02-13,218,207,119.0,324,181,377,297,443,539,331,219,3255.0
2022-02-20,188,208,96.0,231,203,401,305,270,608,343,239,3092.0
2022-02-27,172,167,111.0,209,84,376,235,215,670,295,225,2759.0
2022-03-06,205,196,118.0,229,79,394,254,241,683,296,261,2956.0
2022-03-13,205,229,111.0,163,202,414,273,252,582,246,268,2945.0
2022-03-20,176,254,128.0,165,154,395,297,442,718,304,276,3309.0
2022-03-27,246,294,112.0,355,159,427,365,345,684,349,343,3679.0
2022-04-03,250,282,170.0,308,246,488,332,347,615,324,318,3680.0
2022-04-10,233,342,116.0,337,111,445,258,264,628,362,383,3479.0
2022-04-17,294,306,157.0,358,289,478,314,294,595,369,296,3750.0
2022-04-24,279,310,98.0,271,286,517,269,267,489,314,285,3385.0
2022-05-01,295,287,123.0,321,378,526,337,361,637,237,297,3799.0
2022-05-08,324,386,122.0,379,316,608,354,376,754,396,415,4430.0
2022-05-15,411,295,163.0,263,315,658,337,414,735,395,224,4210.0
2022-05-22,357,323,111.0,314,339,653,334,383,782,336,345,4277.0
2022-05-29,363,264,126.0,316,350,484,326,397,723,349,358,4056.0
2022-06-05,312,280,173.0,296,269,485,488,335,723,344,290,3995.0
2022-06-12,408,294,141.0,244,295,718,1053,364,666,366,316,4865.0
2022-06-19,326,256,127.0,290,263,531,877,302,644,336,306,4258.0
2022-06-26,247,230,117.0,232,347,523,460,285,594,290,285,3610.0
2022-07-03,264,232,138.0,220,167,426,258,354,645,315,266,3285.0
2022-07-10,355,236,131.0,220,193,565,918,300,598,355,272,4143.0
2022-07-17,310,280,150.0,217,205,520,337,288,614,345,250,3516.0
2022-07-24,258,266,141.0,251,203,429,610,305,623,314,235,3635.0
2022-07-31,266,222,129.0,216,114,437,646,355,731,289,264,3669.0
2022-08-07,265,221,98.0,220,94,382,279,309,730,317,263,3178.0
2022-08-14,244,203,144.0,175,238,352,280,322,661,295,217,3131.0
2022-08-21,211,242,129.0,171,162,278,456,352,614,334,355,3304.0
2022-08-28,224,180,81.0,164,114,281,410,308,644,301,230,2937.0
2022-09-04,190,170,117.0,226,79,314,385,281,706,290,226,2984.0
2022-09-11,214,187,80.0,218,105,295,221,317,623,287,253,2800.0
2022-09-18,215,160,114.0,205,159,309,347,281,625,382,229,3026.0
2022-09-25,196,146,111.0,181,101,279,332,301,633,276,148,2704.0
2022-10-02,210,151,127.0,237,158,381,295,345,693,292,214,3103.0
2022-10-09,176,147,91.0,205,158,343,308,226,649,259,214,2776.0
2022-10-16,251,143,124.0,257,162,404,357,275,689,303,214,3179.0
2022-10-23,176,184,135.0,224,208,388,365,287,761,296,282,3306.0
2022-10-30,147,146,98.0,273,229,450,306,327,673,261,242,3152.0
2022-11-06,160,157,127.0,261,165,324,380,227,570,251,226,2848.0
2022-11-13,234,206,138.0,238,198,449,320,257,614,260,256,3170.0
2022-11-20,158,170,124.0,224,79,360,299,184,537,260,182,2577.0
2022-11-27,187,170,88.0,205,158,375,263,201,565,265,189,2666.0
2022-12-04,164,167,104.0,209,132,369,200,260,521,221,160,2507.0
2022-12-11,171,147,88.0,217,229,339,194,352,520,187,163,2607.0
2022-12-18,170,158,77.0,178,84,333,173,257,441,167,206,2244.0
2022-12-25,190,144,81.0,163,85,232,189,191,449,204,144,2072.0
