"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
348,292,135,176,289,475,414,323,786,302,264.54
332,221,131.09,210,368,503,355,376,690,318,188
316,361,72,180,254,424,310,355,638,220,191
306,233,83,194,199,375,308,300,570.45,299,156
316,252.19,70,304,203,338,334,317,623,243,145
285,253.75,75,154,265,396,299,306,617,268.59,218.29
230,288,94,140,170,365,234,286,533,215,163
250,223.22,73,147,222,435,283,298,615,263.04,172
253,233.87,77,166,258,365,267,303,536,322,157
229,234,93,338,185,342,250,334,639,229,206.3
263,244,108.96,202,176,358,267,442,586,234,204.33
244,248.04,91,302,263,395,296,443,677.25,288.04,224
230,241,69,284,242,530,300,518,747.56,241,220.46
255,221,90,290,166,381,299,527,787,223,206
250.79,257,84,219,234,410,271,454,616,290,232
245,195,114,200,238,421,235,443,721,301,196
253,210,108,290,300,479,276,449,717,349,203
268.27,250,88,373,277,442,350,368.79,654,220,253.24
218,276,144.24,213,415,481,542,509,835,262,260
238,253,121,269,387,559,509,487,780,237,255.33
257,259.81,114,239,428,543.41,628,465,798,362,255
260,256,133,242.79,382,544.84,645,425,762.39,354,263
192,251,130,244,343.01,649,553,462,579,290,189
255,273,140.5,310,333,516,424,387,615,340,295.49
289,236,127,233,292,469,277,338,469,267,224
268,223.89,132,191,224,384,285,288,379,241,175
207,212,112.92,266,173,338,290,287.21,455,235,157
408,387,197,426,223,663,453.02,547,874,501,243
186,200,101,211,117,342,216,255,560,242.62,171
174,226,122.95,184,96,427,269,283,636,260,195
225.51,265,96,234,111,359,233,393,688,283,208
186,274,124.83,245,146,389,285,321,758,310.92,247
188,218,137,185,89,372,284,306,662.55,309,235
193,179,130,232,103,398,279,351,594,358,241.63
213,216,118.68,300,108,425,288,395,748,365,259
242,251,112,304,137,421,322,316,735,445,273
187,246,120,226,108,415,305,323,634,319,280
168,163,119,466,119,403.26,291,346,685.58,301,247
178,146,90,237,149,312,306,302,595,275,255
192,175,111,248,140,336,308,260,543,252,303
256,186,93,211.1,146,326,290,239,566,283,272
277,195,98,286,186,327,329,279,607,312,292
263,282,126.97,276,179,435,329,328,557,326,323
406,329,99,350,216,389,376,343,518,344,321
297,208,50,284,191,488,366,212,518,345,268
318,284,115.32,262,197,442,328,310,601,329,295
244.33,265,92,232,257.79,417,265,273,685,327,303
396,369,122,305.94,186,528,428.85,350,665,424,393
466,327,149,350,246,518,365,361.68,596,426,370
357,289.54,121.46,228,188,391,350,332.08,576,402,325
364,287,100,297,240,561,332,336,627,378,313
309,330,132.91,219,269,544,563.9,365,693.4,424,273
292,238,134,289,308,473.99,305,414,588,369,252
311,211,94,275,286,525,491.64,358,618,366,255
234,148,100,237,187.14,431,341,274.29,550,318,288
231,172,120,246,203,446,292,295,473,306,245
294,191,85,255,187,421.18,328.88,322,499,319,232
301,190,122,253,202,426,349,289.29,571,268,239
269,206,90,182,184,392.35,360,266,650,283.54,243
262,203,67,228,190.07,430,374,310,636,398,243
274,240,119,257,191,441,314,365,646,389,247
228,257,111,264.78,192,417,308,354,705,343,260.67
213,188,68,257,197,393,246,369,864,359,262
216,236,97,224,191,408,319,322,930,328,258
200,212,105,305.89,318,450,349,414,1046,390,301.65
186,245.12,80,366,367,483,403,393,1054,370,353
188,266,111,464,436,577,403,438,959,380,317
247,275,150,449,498,621,447,519,1048,381,334
269,293,150,432,480,689,460,579,1186,479,328
246,310,180,495,481,561,416,488,1089,469,384
243,280,149,469,449,643,461,545,992,458,426
225,269,133,395,389,628,461,471,1120,488,356
281,200,144,404,378,599,509,442,975,411,333
341.19,301.46,159,343,304,549,478,411.68,833,386,313
247,255,163,298.72,316,594,399,398,740,340,286
263,252,140.82,275,338,576,351,427,606,337,285
215,213,136,290,347,485,345,390,630,327,269
303,200,129,245,357,452,364.58,324,594,344,229
267,226,89,219.19,246,433,368,251,550,282,231
240,234.41,113,230.69,229,419,286,328,701,277,237
280,205,123,312,173,499,373,359,861,316,266.04
239,226,114,294,161,408.23,337,337,765,318,229
211,193.96,112,265,179,430,351,309,666,299,235
237,184,126,273,149,507,343,318,607,299,268
264,206.73,95,247,133,457,281,265,544,328,243
215,191,91,226,114,376.57,255,246,517,352,226
190,207,113,225,141,408,298.42,268,539,331,248
189,208,117.8,240,101,401,305,270,694,343,239
172,202,111,209,84,376,235,215,670,295,225
205,196,118,229,79,394,254,241,614,299.43,261
205,229,111,233,137,388.25,273,252,582,269,243
230,254,128,295,196.19,395,297,276,718,304,276
246,294,112,355,282.36,427,365,345,684,391,343
258.97,282,170,308,308,488,277,281,664,324,318
233,342,116,230.6,277,445,258,264,628,362,318
294,306,157,358,289,478,314,294,595,333,296
279,310,98,251.43,266,517,269,267,489,314,285
295,287,116,321,279,526,337,361,637,332,297
324,275,122,379,316,608,354,376,754,396,415
411,295,163,347,315,658,337,414,735,395,458
326.75,323,150,314,339,653,334,383,782,336,345
363,264,150.67,316,336.72,728,326,397,723,349,358
302.62,280,173,296,269,698,488,385.08,723,359.64,290
318,294,141,262,295,524.9,1053,364,666,366,316
326,294.21,127,218,296,531,467.25,302,644,336,306
247,230,104,227.01,208.82,451.8,460,285,570,290,285
264,232,138,220,268.03,486,748,354,723,315,266
286.42,238,131,220,193,565,918,300,598,355,245.4
310,280,150,217,205,520,791,288,614,345,250
258,266,141,251,183,426.56,359.46,305,623,314,235
266,222,129,216,114,417.89,646,355,731,289,264
265,221,126,220,94,382,410.7,309,730,317,263
244,203,144,175,123,352,556,322,661,287,217
219,242,129,171,104,278,456,256,614,334,215
224,180,103,164,114,281,410,308,644,301,230
275,170,117,226,79,314,385,303,706,292.23,228
226.65,187,146,218,160.07,295,344,317,670,287,239.87
211,204.59,114,205,159,384.79,347,281,625,382,229
196,146,111,181,101,279,332,301,633,246.39,183
210,151,122,237,158,342,295,315,693,292,214
176,147,91,244,173,343,308,226,649,325,214
202,143,124,257,156.06,404,295.21,275,689,303,203
176,144,135,243.6,208,404.06,365,287,761,296,282
233.35,154,98,273,229,450,306,269,673,261,242
160,157,127,261,165,427,380,227,570,251,226
234,174,138,229.73,198,449,320,257,614,260,232
158,166.15,110,224,174,360,303,184,537,260,182
187,170,108.21,205,158,375,263,201,565,265,189
164,167,104,201,132,369,200,182,521,221,160
178.82,186,88,217,83,339,194,190,520,214,163
170,168.47,77,178,84,333,173,187,441,167,206
190,144,81,163,85,344,189,206,449,204,144
