periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_MICE_10
2019-11-10,212,217,169,231,347,434,384,460,907,340,340,4041
2019-11-17,209,214,180,261,279,407,279,363,874,342,305,3713
2019-11-24,217,229,162,317,240,410,346,413,793,322,131,3580
2019-12-01,193,268,147,193,183,384,359,442,783,268,256,3476
2019-12-08,200,213,156,157,217,402,337,330,623,307,260,3202
2019-12-15,232,125,123,249,218,373,328,295,598,232,173,2946
2019-12-22,232,137,117,45,348,373,221,187,567,240,276,2743
2019-12-29,167,141,59,45,136,242,252,206,595,195,111,2149
2020-01-05,197,167,108,71,105,285,237,191,610,156,163,2290
2020-01-12,173,202,131,118,83,272,236,271,595,190,130,2401
2020-01-19,174,187,129,117,111,243,206,228,563,226,185,2369
2020-01-26,171,189,115,115,132,220,222,258,538,231,154,2345
2020-02-02,218,202,11,116,152,299,206,206,671,211,182,2474
2020-02-09,162,201,122,163,161,292,195,257,653,180,148,2534
2020-02-16,152,163,135,114,131,299,199,312,636,185,179,2505
2020-02-23,159,200,124,171,152,368,261,266,634,187,161,2683
2020-03-01,159,191,145,146,196,406,265,283,628,186,228,2833
2020-03-08,156,185,161,177,140,287,283,307,654,198,130,2678
2020-03-15,186,146,70,211,191,367,276,246,562,334,229,2818
2020-03-22,169,177,116,235,185,403,253,327,550,203,197,2815
2020-03-29,150,171,177,256,194,405,224,280,594,239,156,2846
2020-04-05,146,183,158,179,204,363,247,311,539,156,185,2671
2020-04-12,209,144,104,174,229,291,216,305,640,239,206,2757
2020-04-19,216,263,135,219,244,373,237,385,651,173,183,3079
2020-04-26,275,261,150,215,273,377,273,327,695,294,253,3393
2020-05-03,327,360,146,207,265,342,275,415,683,285,305,3610
2020-05-10,365,330,155,238,291,403,349,427,763,337,295,3953
2020-05-17,355,352,136,262,374,425,386,302,660,251,253,3756
2020-05-24,326,325,114,208,238,400,341,257,590,338,174,3311
2020-05-31,416,301,117,209,351,559,363,411,710,370,300,4107
2020-06-07,439,294,98,228,328,467,368,437,739,338,305,4041
2020-06-14,429,324,173,189,321,440,337,405,705,313,261,3897
2020-06-21,348,292,135,176,289,475,414,323,786,302,297,3837
2020-06-28,332,221,117,210,368,503,355,376,690,318,188,3678
2020-07-05,316,361,72,180,254,424,310,355,638,220,191,3321
2020-07-12,306,233,83,194,199,375,308,300,615,299,156,3068
2020-07-19,316,177,70,304,203,338,334,317,623,243,145,3070
2020-07-26,285,213,75,154,265,396,299,306,617,295,268,3173
2020-08-02,230,288,94,140,170,365,234,286,533,215,163,2718
2020-08-09,250,177,73,147,222,435,283,298,615,325,172,2997
2020-08-16,253,196,77,166,258,365,267,303,536,322,157,2900
2020-08-23,229,234,93,338,185,342,250,334,639,229,189,3062
