periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_missF_10
2018-01-07,177.0,180.63,120.0,93.0,156.0,320.0,169.0,306.0,536.0,180.0,176.0,2413.63
2018-01-14,143.0,185.3,175.0,134.0,163.7,267.98,206.0,266.0,500.0,182.0,169.86,2392.84
2018-01-21,163.0,166.0,147.0,108.0,208.0,227.0,211.0,257.0,473.0,206.0,230.0,2396.0
2018-01-28,136.0,136.0,118.0,122.0,193.07,210.0,220.0,239.02,449.0,216.0,258.0,2297.09
2018-02-04,122.0,144.0,134.0,93.0,201.0,204.0,184.0,191.0,466.0,172.22,218.0,2129.2200000000003
2018-02-11,154.27,174.68,164.0,90.0,198.0,222.0,217.0,244.0,571.0,192.11,172.0,2399.06
2018-02-18,135.0,163.0,157.0,110.79,181.0,221.0,179.0,241.0,560.0,165.0,193.68,2306.47
2018-02-25,127.0,180.76,188.0,126.48,176.97,222.0,192.0,281.0,628.0,144.0,216.0,2482.21
2018-03-04,144.0,138.0,158.0,170.0,182.0,198.0,197.0,238.8,529.0,130.0,160.0,2244.8
2018-03-11,178.03,198.0,170.0,115.0,207.0,232.0,218.0,301.0,647.0,179.0,167.0,2612.0299999999997
2018-03-18,168.0,212.0,196.0,181.0,313.0,317.0,256.0,289.0,640.0,214.0,278.04,3064.04
2018-03-25,214.0,245.0,245.0,207.0,349.0,395.0,292.0,273.0,703.0,259.0,355.0,3537.0
2018-04-01,256.0,384.0,211.0,274.0,426.0,360.0,328.0,349.0,668.04,299.0,380.0,3935.04
2018-04-08,264.0,343.0,184.65,269.0,383.0,364.0,301.0,384.0,637.0,297.0,323.0,3749.65
2018-04-15,298.0,365.0,191.0,259.69,411.0,373.0,334.0,355.0,617.0,303.0,379.0,3885.69
2018-04-22,310.0,341.95,170.86,274.23,391.0,585.0,338.0,388.0,644.0,340.0,364.0,4147.04
2018-04-29,328.0,493.0,252.0,316.0,471.0,624.0,383.0,425.0,648.0,312.0,470.0,4722.0
2018-05-06,282.0,432.0,205.0,202.0,364.0,419.0,298.0,402.0,689.8,291.0,443.0,4027.8
2018-05-13,316.0,346.0,218.0,196.0,367.0,459.0,304.82,442.0,645.0,280.0,446.0,4019.82
2018-05-20,266.0,342.0,190.82,256.09,374.0,384.0,336.0,415.0,702.0,304.69,395.0,3965.6
2018-05-27,281.66,320.0,201.0,251.0,377.0,421.0,336.0,437.0,658.0,291.0,464.0,4037.66
2018-06-03,250.0,343.0,165.0,246.92,397.0,511.0,332.0,382.52,580.0,299.0,352.0,3858.44
2018-06-10,251.0,262.0,188.0,159.0,345.0,408.0,308.0,322.0,555.0,223.0,338.0,3359.0
2018-06-17,251.0,230.0,159.0,144.0,316.0,321.0,280.0,292.0,449.0,214.0,290.0,2946.0
2018-06-24,220.0,280.0,150.5,171.0,395.0,423.0,332.0,405.0,635.0,249.0,302.0,3562.5
2018-07-01,244.95,259.0,138.0,165.0,363.0,381.0,319.0,340.0,622.0,225.0,302.0,3358.95
2018-07-08,220.0,221.0,130.0,144.0,353.0,305.0,279.0,284.0,719.0,246.0,307.0,3208.0
2018-07-15,231.0,229.0,161.26,114.0,309.0,317.0,318.0,306.0,608.0,227.0,334.0,3154.26
2018-07-22,264.0,192.0,116.0,136.0,317.0,300.0,239.0,288.0,674.0,216.0,268.0,3010.0
2018-07-29,251.0,252.0,131.0,169.8,229.0,331.2,238.0,305.0,647.0,206.0,264.0,3024.0
2018-08-05,228.0,178.0,111.0,179.0,229.0,308.0,195.0,294.67,663.0,218.0,310.0,2913.67
2018-08-12,188.0,168.0,130.0,133.0,238.0,287.0,245.0,319.0,747.0,259.0,276.0,2990.0
2018-08-19,206.88,178.0,135.0,167.0,176.0,324.0,254.0,352.0,707.0,238.0,286.0,3023.88
2018-08-26,192.0,155.0,151.0,163.0,143.0,264.0,238.82,292.29,614.0,206.0,248.0,2667.1099999999997
2018-09-02,196.0,207.0,161.0,187.0,249.0,332.0,240.0,377.0,757.61,280.0,338.0,3324.61
2018-09-09,242.0,232.0,181.0,133.0,304.0,329.0,231.0,390.0,929.0,297.0,388.0,3656.0
2018-09-16,219.0,260.0,179.96,211.0,333.0,399.0,249.0,426.0,755.89,281.0,376.0,3689.85
2018-09-23,153.0,229.0,202.0,154.0,412.0,403.0,311.27,436.0,943.0,307.0,363.0,3913.27
2018-09-30,211.0,203.0,189.0,274.0,341.05,438.0,305.0,441.0,927.0,333.41,344.0,4006.46
2018-10-07,219.0,264.0,220.0,245.0,460.0,533.0,322.0,468.0,1050.0,298.0,322.0,4401.0
2018-10-14,238.0,277.0,270.0,318.0,599.0,682.0,357.0,616.0,1090.0,388.0,369.9,5204.9
2018-10-21,260.0,332.0,260.0,311.0,603.0,674.0,429.0,692.0,1291.0,397.0,390.0,5639.0
2018-10-28,285.0,309.0,253.0,380.0,622.0,718.0,381.0,614.0,1294.0,461.0,400.0,5717.0
2018-11-04,318.0,355.0,223.0,325.0,588.0,602.0,391.0,592.0,988.77,293.0,429.0,5104.77
2018-11-11,278.0,346.0,255.0,248.0,550.0,591.0,393.23,577.0,908.0,385.0,413.0,4944.23
2018-11-18,218.0,311.0,196.0,227.0,466.0,651.0,386.0,426.0,985.0,382.0,335.0,4583.0
2018-11-25,297.79,386.0,188.0,263.0,440.0,569.0,353.0,473.0,834.34,378.0,335.0,4517.13
2018-12-02,250.0,298.0,153.86,288.0,342.0,500.0,364.0,437.0,679.0,360.0,354.0,4025.86
2018-12-09,232.0,263.0,153.0,222.26,353.0,470.0,258.0,338.0,637.0,291.0,223.0,3440.26
2018-12-16,188.0,276.0,119.0,138.0,271.0,437.0,252.0,324.0,686.0,259.0,173.0,3123.0
2018-12-23,164.0,193.53,77.0,112.0,241.0,391.0,208.0,260.52,556.0,183.0,241.0,2627.05
2018-12-30,107.0,185.0,226.0,114.0,147.0,325.0,194.0,274.0,500.0,122.0,146.0,2340.0
2019-01-06,160.81,191.0,91.0,114.0,122.0,245.0,192.0,271.0,596.0,144.0,164.0,2290.81
2019-01-13,194.0,177.0,166.0,143.0,85.0,334.0,160.0,279.0,733.0,163.0,163.0,2597.0
2019-01-20,210.0,217.0,163.0,153.0,113.0,256.0,213.0,299.0,731.0,239.0,177.0,2771.0
2019-01-27,167.0,226.0,188.0,157.0,113.0,310.0,215.0,272.0,710.0,242.0,185.0,2785.0
2019-02-03,181.0,201.0,159.0,159.0,159.0,340.0,216.0,306.0,766.0,235.12,492.0,3214.12
2019-02-10,227.0,233.0,173.0,146.0,139.0,310.93,220.0,303.0,717.0,233.21,183.0,2885.1400000000003
2019-02-17,199.0,192.0,200.0,160.0,162.0,338.0,225.0,296.63,659.0,250.0,229.13,2910.76
2019-02-24,279.0,234.0,208.0,174.0,177.0,337.0,282.0,330.0,540.0,295.0,191.0,3047.0
2019-03-03,227.0,251.0,131.0,162.0,175.0,326.0,293.0,293.0,633.0,236.0,226.61,2953.61
2019-03-10,234.76,270.0,164.0,155.0,203.0,291.0,277.0,309.0,613.0,228.0,227.0,2971.76
2019-03-17,250.0,280.0,130.33,200.76,219.0,341.0,281.0,311.0,586.0,259.0,290.0,3148.09
2019-03-24,243.0,340.0,225.0,270.0,319.55,350.0,296.0,374.0,599.0,287.0,276.0,3579.55
2019-03-31,281.0,403.0,201.35,288.0,378.29,388.0,311.0,395.0,705.4,304.0,450.0,4105.04
2019-04-07,300.0,456.0,187.29,247.0,471.0,404.0,273.0,371.0,610.0,342.0,337.45,3998.74
2019-04-14,328.0,389.0,205.0,258.0,429.0,435.0,347.0,352.0,577.0,274.0,327.0,3921.0
2019-04-21,349.0,458.0,270.0,340.0,331.0,450.0,295.0,401.0,683.0,313.28,181.0,4071.2799999999997
2019-04-28,371.0,559.0,194.0,326.0,391.0,647.0,377.12,455.0,808.0,341.0,396.0,4865.12
2019-05-05,299.0,498.0,237.0,203.66,453.0,568.0,333.0,405.0,747.0,253.0,350.87,4347.53
2019-05-12,294.0,459.0,218.0,196.0,426.0,456.08,233.0,511.0,793.0,246.0,350.27,4182.35
2019-05-19,318.59,441.0,150.0,85.0,395.34,677.0,340.0,302.0,733.0,261.0,526.0,4228.93
2019-05-26,371.0,476.0,109.0,102.0,569.0,617.0,333.0,437.0,721.0,380.0,532.0,4647.0
2019-06-02,296.0,320.0,123.0,93.0,542.0,463.0,260.0,236.0,732.0,330.0,340.0,3735.0
2019-06-09,255.0,274.0,124.0,192.0,452.0,509.0,373.61,456.0,623.0,267.0,281.0,3806.61
2019-06-16,324.33,410.11,206.0,183.0,425.0,628.0,334.0,466.0,757.0,317.0,146.0,4196.4400000000005
2019-06-23,308.0,379.0,161.0,166.0,510.0,575.0,451.0,399.0,800.0,312.7,159.0,4220.7
2019-06-30,264.0,264.31,168.0,204.0,362.0,522.0,381.0,419.21,792.0,324.0,131.0,3831.52
2019-07-07,318.0,363.0,166.0,124.0,356.0,629.0,353.0,364.0,850.0,275.0,111.0,3909.0
2019-07-14,294.0,272.45,98.0,215.0,261.0,557.0,368.0,409.0,689.42,281.0,116.0,3560.87
2019-07-21,294.0,231.0,115.0,219.0,376.0,524.0,381.0,414.0,833.0,251.0,97.0,3735.0
2019-07-28,293.0,239.0,11.0,88.0,378.0,403.0,357.0,278.0,796.0,187.0,268.0,3298.0
2019-08-04,246.62,234.0,127.0,165.0,391.0,451.0,384.0,397.02,828.0,342.0,329.0,3894.64
2019-08-11,211.0,211.0,173.0,315.0,404.0,396.0,362.0,443.0,842.0,267.0,237.0,3861.0
2019-08-18,265.0,264.0,162.0,209.0,444.0,361.0,367.0,402.18,962.0,304.0,301.0,4041.18
2019-08-25,278.0,196.0,79.0,81.0,389.0,490.0,366.0,344.74,1041.0,265.0,295.09,3824.83
2019-09-01,231.0,227.0,96.55,71.0,506.0,377.0,338.0,19.0,1039.0,172.0,275.0,3351.55
2019-09-08,244.0,231.0,70.0,71.0,356.0,473.0,301.0,279.0,712.54,284.0,270.46,3292.0
2019-09-15,221.0,184.0,37.0,80.0,403.0,499.0,381.0,393.0,926.91,288.12,363.0,3776.0299999999997
2019-09-22,273.0,236.0,83.61,77.0,375.0,484.0,367.0,347.0,988.0,286.0,263.0,3779.61
2019-09-29,182.0,241.0,132.57,294.25,443.0,494.0,406.0,367.0,954.0,330.0,283.0,4126.82
2019-10-06,197.0,264.0,205.0,231.0,543.0,484.0,326.0,551.0,1095.0,328.0,281.0,4505.0
2019-10-13,190.0,206.0,196.0,271.0,497.0,493.0,275.0,660.0,1128.0,340.0,328.48,4584.48
2019-10-20,255.0,229.0,244.0,286.0,577.0,501.0,371.0,622.0,1214.0,348.45,352.0,4999.45
2019-10-27,214.0,313.0,195.0,241.0,402.0,460.0,373.0,564.0,1198.0,339.0,383.0,4682.0
2019-11-03,251.0,277.0,185.0,407.0,406.0,497.0,396.0,491.0,976.18,313.0,401.0,4600.18
2019-11-10,212.0,217.0,169.0,231.0,347.0,434.0,384.0,460.0,907.0,340.0,340.0,4041.0
2019-11-17,209.0,214.0,180.0,261.0,279.0,407.0,339.2,363.0,874.0,342.0,305.0,3773.2
2019-11-24,217.0,229.0,162.0,317.0,333.46,410.0,346.0,413.0,793.0,322.0,292.98,3835.44
2019-12-01,255.44,268.0,147.0,193.0,183.0,384.0,359.0,369.07,783.0,268.0,256.0,3465.51
2019-12-08,200.0,213.0,156.0,157.0,217.0,402.0,297.29,330.0,623.0,307.0,260.0,3162.29
2019-12-15,232.0,125.0,123.0,249.0,218.0,373.0,256.9,295.0,598.0,232.0,173.0,2874.9
2019-12-22,232.0,137.0,89.35,45.0,348.0,373.0,221.0,187.0,567.0,240.0,265.51,2704.8599999999997
2019-12-29,178.79,141.0,59.0,45.0,136.0,242.0,252.0,228.94,558.68,195.0,111.0,2147.41
2020-01-05,197.0,167.0,108.0,71.0,105.0,285.0,237.0,271.7,610.0,156.0,177.7,2385.3999999999996
2020-01-12,173.0,202.0,131.0,118.0,83.0,272.0,236.0,265.82,595.0,190.0,130.0,2395.8199999999997
2020-01-19,174.0,187.0,129.0,117.0,111.0,243.0,206.0,228.0,563.0,226.0,185.0,2369.0
2020-01-26,171.0,189.0,115.0,115.0,132.0,220.0,222.0,258.0,538.0,231.0,154.0,2345.0
2020-02-02,218.0,202.0,141.93,116.0,176.25,299.0,239.92,305.36,671.0,211.0,182.0,2762.46
2020-02-09,162.0,201.0,122.0,138.93,161.0,292.0,231.46,257.0,653.0,204.3,148.0,2570.6900000000005
2020-02-16,152.0,187.98,135.0,114.0,131.0,299.0,199.0,312.0,608.85,185.0,179.0,2502.83
2020-02-23,159.0,200.0,124.0,171.0,152.0,368.0,261.0,282.38,634.0,187.0,161.0,2699.38
2020-03-01,159.0,191.0,145.0,146.0,196.0,406.0,265.0,283.0,621.94,186.0,228.0,2826.94
2020-03-08,156.0,185.0,161.0,177.0,140.0,287.0,283.0,307.0,654.0,198.0,130.0,2678.0
2020-03-15,186.0,146.0,107.94,211.0,191.0,367.0,276.0,227.25,562.0,265.77,204.1,2744.06
2020-03-22,169.0,177.0,122.05,235.0,185.0,403.0,253.0,327.0,626.84,203.0,197.0,2897.89
2020-03-29,150.0,171.0,177.0,256.0,194.0,405.0,224.0,280.0,594.0,239.0,156.0,2846.0
2020-04-05,146.0,183.0,158.0,179.0,204.0,363.0,247.0,311.0,623.37,207.43,185.0,2806.7999999999997
2020-04-12,209.0,144.0,138.7,174.0,229.0,291.0,216.0,305.0,659.9,239.0,206.0,2811.6
2020-04-19,216.0,263.0,135.0,219.0,244.0,373.0,237.0,385.0,651.0,173.0,237.19,3133.19
2020-04-26,275.0,261.0,150.0,215.0,273.0,377.0,273.0,327.0,695.0,294.0,253.0,3393.0
2020-05-03,327.0,360.0,146.0,207.0,265.0,342.0,275.0,415.0,683.0,285.0,250.58,3555.58
2020-05-10,365.0,330.0,155.0,238.0,291.0,403.0,349.0,427.0,763.0,337.0,295.0,3953.0
2020-05-17,355.0,352.0,136.0,262.0,374.0,425.0,386.0,377.88,660.0,336.0,253.0,3916.88
2020-05-24,326.0,325.0,114.0,208.0,238.0,400.0,341.0,349.39,590.0,338.0,174.0,3403.39
2020-05-31,416.0,301.0,117.0,209.0,351.0,487.29,363.0,411.0,710.0,327.0,300.0,3992.29
2020-06-07,439.0,294.0,142.98,228.0,328.0,467.0,368.0,382.15,739.0,338.0,305.0,4031.13
2020-06-14,429.0,324.0,158.76,189.0,321.0,440.0,338.13,405.0,705.0,313.0,261.0,3883.89
2020-06-21,348.0,292.0,135.0,176.0,289.0,475.0,414.0,323.0,786.0,302.0,264.54,3804.54
2020-06-28,332.0,221.0,131.09,210.0,368.0,503.0,355.0,376.0,690.0,318.0,188.0,3692.09
2020-07-05,316.0,361.0,72.0,180.0,254.0,424.0,310.0,355.0,638.0,220.0,191.0,3321.0
2020-07-12,306.0,233.0,83.0,194.0,199.0,375.0,308.0,300.0,570.45,299.0,156.0,3023.45
2020-07-19,316.0,252.19,70.0,304.0,203.0,338.0,334.0,317.0,623.0,243.0,145.0,3145.19
2020-07-26,285.0,253.75,75.0,154.0,265.0,396.0,299.0,306.0,617.0,268.59,218.29,3137.63
2020-08-02,230.0,288.0,94.0,140.0,170.0,365.0,234.0,286.0,533.0,215.0,163.0,2718.0
2020-08-09,250.0,223.22,73.0,147.0,222.0,435.0,283.0,298.0,615.0,263.04,172.0,2981.26
2020-08-16,253.0,233.87,77.0,166.0,258.0,365.0,267.0,303.0,536.0,322.0,157.0,2937.87
2020-08-23,229.0,234.0,93.0,338.0,185.0,342.0,250.0,334.0,639.0,229.0,206.3,3079.3
2020-08-30,263.0,244.0,108.96,202.0,176.0,358.0,267.0,442.0,586.0,234.0,204.33,3085.29
2020-09-06,244.0,248.04,91.0,302.0,263.0,395.0,296.0,443.0,677.25,288.04,224.0,3471.33
2020-09-13,230.0,241.0,69.0,284.0,242.0,530.0,300.0,518.0,747.56,241.0,220.46,3623.02
2020-09-20,255.0,221.0,90.0,290.0,166.0,381.0,299.0,527.0,787.0,223.0,206.0,3445.0
