"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
177,154,120,93,156,320,169,306,536,180,176
143,245.722448979592,175,134,174,283,206,266,500,182,193
163,166,147,227.210317460317,208,227,211,257,473,206,265.262295081967
136,136,118,122,167,210,220,257,449,216,258
122,144,134,93,201,204,184,351.481632653061,466,199,218
195,145,164,90,198,222,217,244,571,219,172
135,163,157,114,181,221,179,241,560,165,233
246.35,137,188,124,196,222,192,351.481632653061,628,144,216
144,138,158,170,182,198,197,331,529,130,160
145,198,170,115,207,232,218,301,647,179,167
246.35,212,196,181,313,317,256,289,640,214,247
214,245,245,207,349,395,292,273,703,259,355
256,384,211,274,426,360,328,349,682,299,380
264,343,205,269,265.574297188755,364,301,384,637,297,323
298,365,191,266,411,373,334,355,617,303,379
310,322,225,290,391,585,338,388,644,340,364
328,493,252,316,471,624,383,425,648,312,470
282,432,205,202,364,419,298,402,554,291,443
316,346,218,196,367,459,300,442,645,280,446
266,342,178,237,374,384,336,415,702,335,395
265,245.722448979592,137.238298545225,251,377,421,328.269841269841,437,658,293.160642570281,464
250,343,165,227.210317460317,397,511,332,393,580,299,352
251,262,188,159,345,408,308,322,555,223,338
251,230,159,144,316,321,280,292,449,214,290
220,280,188,171,395,423,332,351.481632653061,635,249,302
219,259,138,227.210317460317,363,381,319,340,622,225,302
220,221,130,144,353,305,279,284,719,246,307
246.35,229,161,114,309,317,318,306,608,227,334
264,192,116,136,317,300,239,288,674,216,268
251,252,131,145,229,375,238,305,647,293.160642570281,264
228,178,111,179,229,308,195,253,663,218,310
188,168,130,133,238,287,245,319,747,259,276
223,178,135,167,176,324,254,352,707,238,286
192,155,151,163,143,264,221,317,614,206,248
196,207,161,187,265.574297188755,332,240,377,733,280,338
242,232,181,133,304,329,231,390,929,297,388
219,260,222,211,333,399,249,426,945,281,376
153,229,202,154,412,403,280,351.481632653061,943,307,363
211,203,189,274,265.574297188755,438,305,441,927,351,344
219,264,220,245,460,533,322,351.481632653061,695.559183673469,298,322
238,277,270,318,599,682,357,616,1090,388,391
260,332,260,311,603,674,429,692,1291,397,265.262295081967
285,309,253,380,622,718,381,614,1294,461,400
318,355,223,325,588,602,391,592,1160,293,429
278,346,255,248,265.574297188755,591,354,577,908,385,413
218,311,196,227,466,651,386,426,985,382,265.262295081967
199,386,188,263,440,569,353,473,891,378,335
250,298,143,288,342,500,364,351.481632653061,679,360,354
232,263,153,75,353,470,258,338,637,291,223
188,245.722448979592,119,138,271,437,252,324,686,259,173
164,211,77,112,241,391,208,273,556,183,241
246.35,185,226,114,147,325,194,274,500,122,146
182,191,137.238298545225,114,122,245,192,271,596,144,164
194,177,166,143,85,334,160,279,733,163,163
210,217,163,153,113,256,213,299,731,239,177
167,226,188,157,113,310,215,272,710,242,185
181,201,159,227.210317460317,159,340,216,306,766,225,492
227,233,173,146,265.574297188755,342,220,303,717,213,183
199,192,200,160,162,338,225,307,659,250,218
279,234,208,174,177,337,282,330,540,295,191
227,251,131,162,175,326,293,293,633,236,168
246.35,270,164,155,203,291,277,309,613,228,227
250,280,158,181,219,341,281,311,586,259,290
243,340,225,270,178,350,296,374,599,287,276
281,403,203,288,246,388,311,395,625,304,450
300,456,218,247,471,404,273,371,610,293.160642570281,384
328,389,205,258,429,435,347,352,695.559183673469,274,327
349,458,270,340,331,450,295,401,683,345,181
371,559,194,326,391,647,366,455,808,341,396
299,498,237,320,453,568,333,405,747,253,438
294,459,218,196,426,551,233,511,793,246,494
347,441,150,85,532,677,340,302,733,261,526
371,476,109,102,569,617,333,437,721,380,532
296,320,123,93,542,463,260,351.481632653061,732,330,340
255,274,124,192,452,509,370,456,623,293.160642570281,281
334,327,206,183,425,628,334,466,757,317,146
308,379,161,166,510,575,451,399,800,301,159
264,386,168,204,362,522,381,451,792,324,131
318,363,166,124,356,629,353,364,850,275,111
294,290,98,215,261,557,368,409,827,281,116
294,231,115,219,376,524,381,414,695.559183673469,251,97
293,239,11,88,378,403,357,278,796,187,268
255,234,127,165,391,451,384,351.481632653061,828,342,329
211,211,137.238298545225,315,404,396,362,443,842,267,237
265,264,162,227.210317460317,444,361,367,481,695.559183673469,304,301
278,196,79,81,389,490,366,288,1041,265,294
231,227,156.098039215686,71,506,377,338,19,695.559183673469,172,275
244,231,70,71,356,473,301,279,1024,284,297
221,184,37,80,403,499,328.269841269841,393,900,377,363
273,236,132,77,375,484,367,347,988,286,263
182,241,65,86,443,494,406,367,954,330,283
197,264,137.238298545225,231,543,484,326,551,1095,328,281
