periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_KNN_20
2019-09-01,231,227,156.098039215686,71,506,377,338,19,640,172,275,3012.098039215686
2019-09-08,244,231,70.0,71,271,473,301,279,1024,302,297,3563.0
2019-09-15,221,184,37.0,80,353,431,349,395,900,377,268,3595.0
2019-09-22,273,236,132.0,77,258,484,367,347,701,299,266,3440.0
2019-09-29,182,241,65.0,86,443,494,406,367,954,330,283,3851.0
2019-10-06,197,324,205.0,231,543,484,326,551,1050,328,281,4520.0
2019-10-13,190,206,162.0,271,497,493,391,468,1128,340,324,4470.0
2019-10-20,255,346,244.0,286,577,501,371,622,1214,342,383,5141.0
2019-10-27,263,313,195.0,241,402,460,373,564,1198,339,383,4731.0
2019-11-03,251,301,185.0,407,406,497,396,491,1029,313,401,4677.0
2019-11-10,197,269,169.0,395,347,434,384,460,927,340,340,4262.0
2019-11-17,209,214,180.0,261,357,451,387,363,660,327,305,3714.0
2019-11-24,217,229,162.0,317,231,410,346,337,705,322,272,3548.0
2019-12-01,192,220,147.0,220,183,384,319,371,783,309,256,3384.0
2019-12-08,200,213,131.0,157,217,381,315,330,623,239,260,3066.0
2019-12-15,232,125,123.0,249,218,373,290,293,598,232,173,2906.0
2019-12-22,232,137,93.0,45,132,373,221,286,567,240,167,2493.0
2019-12-29,231,141,118.0,45,136,242,252,158,567,195,111,2196.0
2020-01-05,197,167,108.0,71,105,299,237,317,633,156,164,2454.0
2020-01-12,173,171,131.0,118,83,272,236,265,595,190,130,2364.0
2020-01-19,174,187,129.0,117,111,243,206,261,563,226,185,2402.0
2020-01-26,227,189,115.0,115,132,220,222,258,596,231,154,2459.0
2020-02-02,187,202,115.0,116,146,299,208,261,671,211,182,2598.0
2020-02-09,162,201,122.0,118,161,292,251,257,653,174,148,2539.0
2020-02-16,152,198,135.0,114,131,299,199,258,634,185,179,2484.0
2020-02-23,159,200,124.0,160,152,368,261,291,634,187,161,2697.0
2020-03-01,250,191,145.0,146,196,406,265,283,623,233,228,2966.0
2020-03-08,156,185,161.0,179,140,287,251,307,654,198,130,2648.0
2020-03-15,186,146,139.0,211,191,367,276,227,562,216,169,2690.0
2020-03-22,169,236,147.0,145,185,299,253,327,630,203,197,2791.0
2020-03-29,150,171,177.0,256,194,405,224,280,594,239,156,2846.0
2020-04-05,270,183,158.0,179,204,363,277,311,464,233,185,2827.0
2020-04-12,209,233,135.0,174,229,291,216,305,633,239,206,2870.0
2020-04-19,216,280,135.0,219,244,373,237,385,651,283,236,3259.0
2020-04-26,275,261,150.0,215,186,377,273,327,695,294,253,3306.0
2020-05-03,327,360,178.0,207,265,342,275,415,683,285,264,3601.0
2020-05-10,365,330,155.0,238,291,507,341,427,710,337,295,3996.0
2020-05-17,251,352,136.0,262,374,516,386,361,660,340,253,3891.0
2020-05-24,326,325,114.0,208,238,400,341,369,646,338,174,3479.0
2020-05-31,263,301,117.0,209,351,485,363,411,710,354,300,3864.0
2020-06-07,439,294,147.0,228,328,467,368,397,739,338,305,4050.0
