periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_KNN_10
2018-01-07,177,191,120,93,156,320,169,306,536,180,176,2424
2018-01-14,143,229,175,134,244,326,206,266,500,182,185,2590
2018-01-21,163,166,147,108,208,227,211,257,473,206,230,2396
2018-01-28,136,136,118,122,182,210,220,258,449,216,258,2305
2018-02-04,122,144,134,93,201,204,184,191,466,216,218,2173
2018-02-11,177,196,164,90,198,222,217,244,571,206,172,2457
2018-02-18,135,163,157,181,181,221,179,241,560,165,230,2413
2018-02-25,127,263,188,270,194,222,192,281,628,144,216,2725
2018-03-04,144,138,158,170,182,198,197,271,529,130,160,2277
2018-03-11,171,198,170,115,207,232,218,301,647,179,167,2605
2018-03-18,168,212,196,181,313,317,256,289,640,214,185,2971
2018-03-25,214,245,245,207,349,395,292,273,703,259,355,3537
2018-04-01,256,384,211,274,426,360,328,349,617,299,380,3884
2018-04-08,264,343,170,269,383,364,301,384,637,297,323,3735
2018-04-15,298,365,191,251,411,373,334,355,617,303,379,3877
2018-04-22,310,280,153,314,391,585,338,388,644,340,364,4107
2018-04-29,328,493,252,316,471,624,383,425,648,312,470,4722
2018-05-06,282,432,205,202,364,419,298,402,637,291,443,3975
2018-05-13,316,346,218,196,367,459,334,442,645,280,446,4049
2018-05-20,266,342,163,226,374,384,336,415,702,297,395,3900
2018-05-27,251,320,201,251,377,421,336,437,658,291,464,4007
2018-06-03,250,343,165,209,397,511,332,437,580,299,352,3875
2018-06-10,251,262,188,159,345,408,308,322,555,223,338,3359
2018-06-17,251,230,159,144,316,321,280,292,449,214,290,2946
2018-06-24,220,280,188,171,395,423,332,405,635,249,302,3600
2018-07-01,251,259,138,165,363,381,319,340,622,225,302,3365
2018-07-08,220,221,130,144,353,305,279,284,719,246,307,3208
2018-07-15,231,229,138,114,309,317,318,306,608,227,334,3131
2018-07-22,264,192,116,136,317,300,239,288,674,216,268,3010
2018-07-29,251,252,131,233,229,341,238,305,647,206,264,3097
2018-08-05,228,178,111,179,229,308,195,305,663,218,310,2924
2018-08-12,188,168,130,133,238,287,245,319,747,259,276,2990
2018-08-19,210,178,135,167,176,324,254,352,707,238,286,3027
2018-08-26,192,155,151,163,143,264,220,307,614,206,248,2663
2018-09-02,196,207,161,187,249,332,240,377,707,280,338,3274
2018-09-09,242,232,181,133,304,329,231,390,929,297,388,3656
2018-09-16,219,260,185,211,333,399,249,426,703,281,376,3642
2018-09-23,153,229,202,154,412,403,332,436,943,307,363,3934
2018-09-30,211,203,189,274,159,438,305,441,927,340,344,3831
2018-10-07,219,264,220,245,460,533,322,468,1050,298,322,4401
2018-10-14,238,277,270,318,599,682,357,616,1090,388,400,5235
2018-10-21,260,332,260,311,603,674,429,692,1291,397,390,5639
2018-10-28,285,309,253,380,622,718,381,614,1294,461,400,5717
2018-11-04,318,355,223,325,588,602,391,592,908,293,429,5024
2018-11-11,278,346,255,248,550,591,381,577,908,385,413,4932
2018-11-18,218,311,196,227,466,651,386,426,985,382,335,4583
