periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_Mean_20
2018-10-21,260.0,332.0,260.0,227.815668202765,603.0,674.0,429.0,349.734299516908,1291.0,397.0,390.0,5213.549967719673
2018-10-28,285.0,309.0,253.0,380.0,622.0,718.0,326.701421800948,614.0,1294.0,293.333333333333,262.604761904762,5357.639517039043
2018-11-04,318.0,355.0,223.0,325.0,588.0,602.0,391.0,349.734299516908,1160.0,293.0,429.0,5033.734299516907
2018-11-11,278.0,346.0,255.0,248.0,550.0,591.0,354.0,577.0,908.0,385.0,262.604761904762,4754.604761904762
2018-11-18,218.0,311.0,196.0,227.0,466.0,425.920187793427,386.0,349.734299516908,985.0,382.0,335.0,4281.654487310335
2018-11-25,199.0,386.0,188.0,263.0,440.0,569.0,353.0,473.0,891.0,378.0,262.604761904762,4402.604761904762
2018-12-02,250.0,298.0,143.0,227.815668202765,342.0,425.920187793427,364.0,437.0,679.0,360.0,354.0,3880.735855996192
2018-12-09,232.0,263.0,153.0,75.0,265.435643564356,470.0,258.0,338.0,637.0,291.0,223.0,3205.435643564356
2018-12-16,188.0,244.702564102564,139.239896897726,138.0,271.0,437.0,252.0,324.0,686.0,293.333333333333,173.0,3146.275794333623
2018-12-23,164.0,244.702564102564,77.0,227.815668202765,241.0,391.0,326.701421800948,273.0,556.0,183.0,241.0,2925.219654106277
2018-12-30,107.0,185.0,139.239896897726,114.0,147.0,325.0,194.0,274.0,696.139303482587,122.0,146.0,2449.379200380313
2019-01-06,246.936893203883,244.702564102564,91.0,114.0,122.0,245.0,192.0,271.0,596.0,144.0,164.0,2430.639457306447
2019-01-13,194.0,177.0,166.0,143.0,85.0,334.0,160.0,279.0,733.0,163.0,163.0,2597.0
2019-01-20,210.0,244.702564102564,163.0,153.0,113.0,256.0,213.0,349.734299516908,731.0,239.0,262.604761904762,2935.0416255242335
2019-01-27,246.936893203883,226.0,188.0,157.0,113.0,310.0,215.0,272.0,710.0,242.0,262.604761904762,2942.5416551086446
2019-02-03,246.936893203883,201.0,159.0,227.815668202765,265.435643564356,425.920187793427,326.701421800948,349.734299516908,766.0,293.333333333333,262.604761904762,3524.482209320382
2019-02-10,227.0,233.0,173.0,146.0,139.0,342.0,220.0,303.0,696.139303482587,213.0,183.0,2875.139303482587
2019-02-17,246.936893203883,192.0,139.239896897726,160.0,162.0,338.0,225.0,307.0,659.0,250.0,218.0,2897.176790101609
2019-02-24,246.936893203883,234.0,208.0,174.0,177.0,337.0,326.701421800948,349.734299516908,540.0,295.0,191.0,3079.372614521739
2019-03-03,227.0,251.0,131.0,162.0,175.0,425.920187793427,293.0,293.0,633.0,236.0,168.0,2994.920187793427
2019-03-10,270.0,270.0,164.0,155.0,203.0,291.0,326.701421800948,309.0,613.0,228.0,227.0,3056.701421800948
2019-03-17,246.936893203883,280.0,158.0,181.0,219.0,425.920187793427,281.0,311.0,696.139303482587,259.0,290.0,3347.9963844798967
2019-03-24,243.0,340.0,139.239896897726,270.0,178.0,350.0,296.0,374.0,696.139303482587,287.0,276.0,3449.379200380313
2019-03-31,281.0,244.702564102564,139.239896897726,288.0,246.0,388.0,326.701421800948,395.0,696.139303482587,293.333333333333,450.0,3748.116519617158
2019-04-07,300.0,456.0,218.0,247.0,471.0,404.0,273.0,371.0,696.139303482587,342.0,384.0,4162.139303482587
2019-04-14,328.0,244.702564102564,205.0,258.0,429.0,435.0,347.0,352.0,577.0,274.0,327.0,3776.702564102564
2019-04-21,349.0,458.0,270.0,340.0,265.435643564356,450.0,295.0,401.0,683.0,345.0,181.0,4037.435643564356
2019-04-28,371.0,559.0,139.239896897726,326.0,391.0,647.0,366.0,349.734299516908,696.139303482587,341.0,396.0,4582.113499897221
2019-05-05,299.0,244.702564102564,237.0,320.0,265.435643564356,568.0,326.701421800948,405.0,696.139303482587,253.0,438.0,4052.9789329504547
2019-05-12,294.0,459.0,218.0,196.0,426.0,425.920187793427,233.0,349.734299516908,793.0,293.333333333333,494.0,4181.987820643668
2019-05-19,246.936893203883,441.0,150.0,227.815668202765,532.0,677.0,340.0,302.0,733.0,261.0,526.0,4436.752561406648
2019-05-26,246.936893203883,244.702564102564,109.0,227.815668202765,569.0,617.0,333.0,437.0,721.0,380.0,532.0,4417.455125509212
2019-06-02,296.0,244.702564102564,123.0,93.0,265.435643564356,425.920187793427,326.701421800948,349.734299516908,732.0,330.0,262.604761904762,3449.098878682965
2019-06-09,255.0,274.0,124.0,192.0,452.0,509.0,326.701421800948,456.0,623.0,267.0,281.0,3759.701421800948
2019-06-16,334.0,327.0,206.0,183.0,425.0,628.0,334.0,466.0,696.139303482587,317.0,146.0,4062.139303482587
2019-06-23,308.0,379.0,161.0,166.0,510.0,575.0,451.0,399.0,696.139303482587,301.0,262.604761904762,4208.744065387349
2019-06-30,264.0,244.702564102564,168.0,204.0,362.0,522.0,381.0,451.0,792.0,324.0,131.0,3843.702564102564
2019-07-07,318.0,363.0,166.0,124.0,265.435643564356,629.0,353.0,364.0,696.139303482587,275.0,111.0,3664.5749470469427
2019-07-14,294.0,244.702564102564,98.0,215.0,261.0,557.0,368.0,409.0,827.0,293.333333333333,116.0,3683.035897435897
2019-07-21,294.0,231.0,115.0,227.815668202765,265.435643564356,524.0,326.701421800948,414.0,696.139303482587,251.0,97.0,3442.092037050656
2019-07-28,293.0,239.0,11.0,88.0,378.0,403.0,357.0,278.0,796.0,187.0,268.0,3298.0
2019-08-04,255.0,234.0,127.0,165.0,391.0,451.0,384.0,371.0,696.139303482587,293.333333333333,329.0,3696.47263681592
2019-08-11,246.936893203883,211.0,173.0,315.0,265.435643564356,425.920187793427,326.701421800948,443.0,842.0,267.0,262.604761904762,3778.598908267376
2019-08-18,265.0,264.0,162.0,209.0,444.0,361.0,326.701421800948,481.0,962.0,304.0,301.0,4079.701421800948
2019-08-25,278.0,196.0,79.0,81.0,265.435643564356,490.0,366.0,288.0,1041.0,293.333333333333,262.604761904762,3640.373738802451
2019-09-01,231.0,227.0,156.098039215686,71.0,506.0,377.0,338.0,19.0,696.139303482587,172.0,275.0,3068.237342698273
2019-09-08,244.0,231.0,70.0,71.0,265.435643564356,473.0,301.0,279.0,1024.0,293.333333333333,297.0,3548.768976897689
2019-09-15,221.0,184.0,37.0,80.0,265.435643564356,425.920187793427,326.701421800948,349.734299516908,900.0,377.0,262.604761904762,3429.396314580401
2019-09-22,273.0,236.0,132.0,77.0,265.435643564356,484.0,367.0,347.0,696.139303482587,293.333333333333,262.604761904762,3433.513042285038
2019-09-29,182.0,241.0,65.0,86.0,443.0,494.0,406.0,367.0,954.0,330.0,283.0,3851.0
2019-10-06,197.0,244.702564102564,205.0,231.0,543.0,484.0,326.0,551.0,696.139303482587,328.0,281.0,4086.841867585151
2019-10-13,190.0,206.0,139.239896897726,271.0,497.0,493.0,326.701421800948,349.734299516908,1128.0,340.0,324.0,4264.675618215582
2019-10-20,255.0,244.702564102564,244.0,286.0,577.0,501.0,371.0,622.0,1214.0,342.0,262.604761904762,4919.307326007326
2019-10-27,246.936893203883,313.0,195.0,241.0,402.0,460.0,373.0,564.0,1198.0,339.0,383.0,4714.936893203883
2019-11-03,251.0,244.702564102564,185.0,407.0,406.0,497.0,396.0,491.0,1029.0,313.0,401.0,4620.702564102564
2019-11-10,246.936893203883,244.702564102564,169.0,227.815668202765,347.0,434.0,384.0,460.0,696.139303482587,340.0,340.0,3889.594428991799
2019-11-17,209.0,214.0,180.0,261.0,265.435643564356,425.920187793427,387.0,363.0,696.139303482587,293.333333333333,305.0,3599.828468173703
2019-11-24,217.0,229.0,162.0,317.0,231.0,410.0,346.0,349.734299516908,696.139303482587,322.0,272.0,3551.873602999495
2019-12-01,192.0,244.702564102564,147.0,227.815668202765,183.0,384.0,326.701421800948,371.0,783.0,293.333333333333,256.0,3408.55298743961
2019-12-08,200.0,213.0,139.239896897726,157.0,217.0,425.920187793427,315.0,330.0,623.0,293.333333333333,260.0,3173.493418024486
2019-12-15,232.0,125.0,123.0,249.0,218.0,425.920187793427,290.0,349.734299516908,598.0,232.0,173.0,3015.654487310335
2019-12-22,232.0,137.0,93.0,45.0,265.435643564356,373.0,221.0,349.734299516908,567.0,240.0,167.0,2690.169943081264
2019-12-29,231.0,141.0,139.239896897726,45.0,136.0,242.0,252.0,158.0,696.139303482587,195.0,111.0,2346.379200380313
2020-01-05,197.0,167.0,108.0,71.0,105.0,425.920187793427,237.0,349.734299516908,696.139303482587,156.0,262.604761904762,2775.398552697684
2020-01-12,173.0,244.702564102564,131.0,118.0,83.0,272.0,236.0,265.0,595.0,190.0,130.0,2437.702564102564
2020-01-19,174.0,187.0,129.0,117.0,111.0,243.0,206.0,349.734299516908,563.0,226.0,185.0,2490.734299516908
2020-01-26,246.936893203883,189.0,115.0,115.0,132.0,220.0,222.0,258.0,696.139303482587,231.0,154.0,2579.0761966864698
2020-02-02,246.936893203883,202.0,115.0,116.0,146.0,299.0,208.0,261.0,671.0,211.0,182.0,2657.936893203883
2020-02-09,162.0,201.0,122.0,227.815668202765,161.0,292.0,251.0,257.0,653.0,174.0,148.0,2648.8156682027648
2020-02-16,152.0,198.0,135.0,114.0,131.0,299.0,199.0,349.734299516908,696.139303482587,185.0,179.0,2637.873602999495
2020-02-23,159.0,200.0,124.0,227.815668202765,152.0,368.0,261.0,291.0,634.0,187.0,161.0,2764.8156682027648
2020-03-01,246.936893203883,191.0,145.0,146.0,196.0,406.0,265.0,283.0,696.139303482587,293.333333333333,228.0,3096.409530019803
2020-03-08,156.0,185.0,161.0,227.815668202765,140.0,287.0,326.701421800948,307.0,654.0,198.0,130.0,2772.517090003713
2020-03-15,186.0,146.0,139.0,211.0,191.0,367.0,276.0,349.734299516908,562.0,216.0,169.0,2812.734299516908
2020-03-22,169.0,244.702564102564,147.0,227.815668202765,185.0,425.920187793427,253.0,327.0,630.0,203.0,197.0,3009.438420098756
2020-03-29,150.0,171.0,177.0,256.0,194.0,405.0,224.0,280.0,594.0,239.0,156.0,2846.0
2020-04-05,246.936893203883,183.0,158.0,179.0,204.0,363.0,326.701421800948,311.0,464.0,233.0,185.0,2853.638315004831
2020-04-12,209.0,244.702564102564,135.0,174.0,229.0,291.0,216.0,305.0,696.139303482587,239.0,206.0,2944.841867585151
2020-04-19,216.0,244.702564102564,135.0,219.0,244.0,373.0,237.0,385.0,651.0,293.333333333333,236.0,3234.035897435897
2020-04-26,275.0,261.0,150.0,215.0,265.435643564356,377.0,273.0,327.0,695.0,294.0,253.0,3385.435643564356
2020-05-03,327.0,360.0,139.239896897726,207.0,265.0,342.0,275.0,415.0,683.0,285.0,264.0,3562.239896897726
2020-05-10,365.0,330.0,155.0,238.0,291.0,425.920187793427,326.701421800948,427.0,696.139303482587,337.0,295.0,3886.760913076962
2020-05-17,246.936893203883,352.0,136.0,262.0,374.0,425.920187793427,386.0,349.734299516908,660.0,293.333333333333,253.0,3738.9247138475507
2020-05-24,326.0,325.0,114.0,208.0,238.0,400.0,341.0,369.0,696.139303482587,338.0,174.0,3529.139303482587
2020-05-31,246.936893203883,301.0,117.0,209.0,351.0,485.0,363.0,411.0,710.0,354.0,300.0,3847.936893203883
2020-06-07,439.0,294.0,147.0,228.0,328.0,467.0,368.0,349.734299516908,739.0,338.0,305.0,4002.734299516908
2020-06-14,246.936893203883,324.0,116.0,189.0,321.0,440.0,336.0,405.0,696.139303482587,313.0,261.0,3648.0761966864698
2020-06-21,348.0,244.702564102564,135.0,176.0,289.0,475.0,326.701421800948,323.0,786.0,302.0,219.0,3624.403985903512
2020-06-28,246.936893203883,221.0,139.239896897726,210.0,368.0,503.0,355.0,376.0,690.0,293.333333333333,188.0,3590.510123434942
2020-07-05,316.0,244.702564102564,139.239896897726,180.0,254.0,424.0,310.0,349.734299516908,696.139303482587,293.333333333333,262.604761904762,3469.7541592378802
2020-07-12,306.0,233.0,139.239896897726,194.0,199.0,375.0,308.0,300.0,693.0,299.0,262.604761904762,3308.844658802488
2020-07-19,316.0,244.702564102564,70.0,304.0,203.0,425.920187793427,334.0,317.0,623.0,293.333333333333,262.604761904762,3393.5608471340856
2020-07-26,285.0,219.0,75.0,227.815668202765,265.435643564356,396.0,326.701421800948,349.734299516908,617.0,273.0,182.0,3216.687033084977
2020-08-02,230.0,288.0,139.239896897726,140.0,170.0,425.920187793427,234.0,286.0,533.0,215.0,163.0,2824.160084691153
2020-08-09,250.0,195.0,73.0,147.0,222.0,435.0,283.0,298.0,615.0,293.333333333333,172.0,2983.333333333333
2020-08-16,253.0,244.702564102564,77.0,166.0,258.0,365.0,267.0,303.0,696.139303482587,293.333333333333,262.604761904762,3185.779962823246
2020-08-23,229.0,234.0,93.0,338.0,185.0,342.0,250.0,349.734299516908,639.0,229.0,162.0,3050.734299516908
2020-08-30,263.0,244.0,139.239896897726,202.0,176.0,358.0,267.0,442.0,586.0,234.0,167.0,3078.239896897726
2020-09-06,244.0,220.0,91.0,302.0,263.0,395.0,326.701421800948,443.0,682.0,293.333333333333,224.0,3484.034755134281
2020-09-13,246.936893203883,244.702564102564,69.0,227.815668202765,265.435643564356,530.0,300.0,349.734299516908,791.0,293.333333333333,227.0,3544.958401923809
2020-09-20,255.0,221.0,90.0,290.0,265.435643564356,381.0,299.0,349.734299516908,787.0,223.0,206.0,3367.169943081264
2020-09-27,249.0,244.702564102564,84.0,219.0,234.0,410.0,326.701421800948,454.0,616.0,290.0,232.0,3359.403985903512
2020-10-04,245.0,195.0,114.0,200.0,265.435643564356,421.0,235.0,443.0,721.0,301.0,262.604761904762,3403.040405469118
2020-10-11,253.0,210.0,108.0,290.0,300.0,425.920187793427,276.0,449.0,717.0,349.0,203.0,3580.920187793427
2020-10-18,250.0,244.702564102564,88.0,373.0,265.435643564356,442.0,350.0,452.0,654.0,220.0,262.604761904762,3601.742969571682
2020-10-25,218.0,276.0,109.0,227.815668202765,415.0,481.0,326.701421800948,349.734299516908,835.0,262.0,260.0,3760.2513895206207
2020-11-01,238.0,244.702564102564,139.239896897726,227.815668202765,387.0,559.0,509.0,487.0,780.0,237.0,241.0,4049.758129203055
2020-11-08,257.0,207.0,139.239896897726,227.815668202765,265.435643564356,588.0,628.0,465.0,798.0,362.0,255.0,4192.491208664847
2020-11-15,260.0,256.0,133.0,271.0,265.435643564356,568.0,645.0,425.0,696.139303482587,354.0,263.0,4136.574947046943
2020-11-22,192.0,251.0,130.0,244.0,481.0,649.0,553.0,462.0,696.139303482587,290.0,189.0,4137.139303482587
2020-11-29,255.0,244.702564102564,145.0,310.0,333.0,516.0,424.0,349.734299516908,615.0,340.0,209.0,3741.4368636194718
2020-12-06,289.0,236.0,127.0,227.815668202765,292.0,425.920187793427,277.0,338.0,469.0,267.0,224.0,3172.735855996192
2020-12-13,268.0,244.702564102564,139.239896897726,191.0,224.0,384.0,326.701421800948,288.0,379.0,241.0,175.0,2860.643882801238
2020-12-20,207.0,212.0,139.239896897726,266.0,173.0,338.0,290.0,285.0,455.0,235.0,157.0,2757.239896897726
2020-12-27,408.0,387.0,197.0,426.0,223.0,663.0,479.0,349.734299516908,874.0,501.0,243.0,4750.734299516907
2021-01-03,186.0,200.0,101.0,227.815668202765,265.435643564356,342.0,216.0,349.734299516908,696.139303482587,256.0,171.0,3011.124914766616
2021-01-10,174.0,244.702564102564,139.239896897726,184.0,96.0,427.0,269.0,283.0,696.139303482587,260.0,195.0,2968.081764482877
2021-01-17,217.0,244.702564102564,139.239896897726,234.0,111.0,359.0,233.0,393.0,688.0,283.0,208.0,3109.9424610002898
