"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
177,143,120,93,156,320,169,306,536,180,176
143,196,175,134,203,299,206,266,500,182,288
163,166,147,108,208,227,211,257,473,206,230
136,136,118,122,85,210,220,271,449,216,258
122,144,134,93,201,204,184,191,466,122,218
122,146,164,90,198,222,217,244,571,122,172
135,163,157,118,181,221,179,241,560,165,248
127,168,188,170,113,222,192,281,628,144,216
144,138,158,170,182,198,197,256,529,130,160
127,198,170,115,207,232,218,301,647,179,167
168,212,196,181,313,317,256,289,640,214,276
214,245,245,207,349,395,292,273,703,259,355
256,384,211,274,426,360,328,349,615,299,380
264,343,180,269,383,364,301,384,637,297,323
298,365,191,71,411,373,334,355,617,303,379
310,264,163,228,391,585,338,388,644,340,364
328,493,252,316,471,624,383,425,648,312,470
282,432,205,202,364,419,298,402,710,291,443
316,346,218,196,367,459,269,442,645,280,446
266,342,201,133,374,384,336,415,702,306,395
247,320,201,251,377,421,336,437,658,291,464
250,343,165,159,397,511,332,343,580,299,352
251,262,188,159,345,408,308,322,555,223,338
251,230,159,144,316,321,280,292,449,214,290
220,280,162,171,395,423,332,405,635,249,302
264,259,138,165,363,381,319,340,622,225,302
220,221,130,144,353,305,279,284,719,246,307
231,229,146,114,309,317,318,306,608,227,334
264,192,116,136,317,300,239,288,674,216,268
251,252,131,211,229,341,238,305,647,206,264
228,178,111,179,229,308,195,309,663,218,310
188,168,130,133,238,287,245,319,747,259,276
228,178,135,167,176,324,254,352,707,238,286
192,155,151,163,143,264,252,288,614,206,248
196,207,161,187,249,332,240,377,988,280,338
242,232,181,133,304,329,231,390,929,297,388
219,260,111,211,333,399,249,426,658,281,376
153,229,202,154,412,403,349,436,943,307,363
211,203,189,274,411,438,305,441,927,312,344
219,264,220,245,460,533,322,468,1050,298,322
238,277,270,318,599,682,357,616,1090,388,470
260,332,260,311,603,674,429,692,1291,397,390
285,309,253,380,622,718,381,614,1294,461,400
318,355,223,325,588,602,391,592,1089,293,429
278,346,255,248,550,591,332,577,908,385,413
218,311,196,227,466,651,386,426,985,382,335
300,386,188,263,440,569,353,473,623,378,335
250,298,150,288,342,500,364,437,679,360,354
232,263,153,273,353,470,258,338,637,291,223
188,276,119,138,271,437,252,324,686,259,173
164,187,77,112,241,391,208,228,556,183,241
