"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
255,221,90,290,271,381,299,363,787,223,206
249,148,84,219,234,410,406,454,616,290,232
245,195,114,200,149,421,235,443,721,301,161
253,210,108,290,300,568,276,449,717,349,203
250,143,88,373,249,442,350,452,654,220,268
218,276,109,164,415,481,308,364,835,262,260
238,280,178,309,387,559,509,487,780,237,241
257,207,245,286,378,588,628,465,798,362,255
260,256,133,271,429,568,645,425,962,354,263
192,251,130,244,481,649,553,462,985,290,189
255,274,145,310,333,516,424,359,615,340,209
289,236,127,205,292,410,277,338,469,267,224
268,201,77,191,224,384,254,288,379,241,175
207,212,99,266,173,338,290,285,455,235,157
408,387,197,426,223,663,479,519,874,501,243
186,200,101,143,202,342,216,311,630,256,171
174,163,88,184,96,427,269,283,758,260,195
217,148,98,234,111,359,233,393,688,283,208
244,274,123,245,333,389,285,321,758,310,247
188,218,137,185,89,372,273,306,882,309,235
193,151,130,232,103,398,279,351,594,275,130
213,216,159,300,108,399,288,395,748,365,229
242,251,126,304,137,421,322,316,735,445,273
216,246,145,304,108,391,305,323,634,319,280
168,143,79,466,119,433,291,346,572,301,247
178,146,90,237,84,312,306,302,595,275,255
192,175,111,248,140,360,308,260,543,252,303
224,146,93,215,146,326,290,239,500,283,272
277,195,98,86,186,327,329,279,607,312,292
263,282,124,276,179,435,329,328,557,326,323
294,229,99,350,216,389,376,343,518,366,321
250,208,50,284,191,488,384,352,518,345,268
318,280,104,262,197,375,341,310,693,237,295
338,263,70,232,194,417,285,273,685,327,303
396,369,122,350,186,528,386,350,665,424,393
466,327,149,350,246,594,365,411,596,426,370
357,330,170,228,188,391,349,415,608,402,352
364,282,100,297,191,400,332,336,787,378,313
309,330,144,219,309,544,403,365,833,424,273
292,280,134,289,308,498,305,414,588,369,261
311,211,94,275,286,525,488,358,618,366,255
264,148,100,237,198,431,292,337,550,318,218
231,172,120,196,203,446,292,295,473,306,245
294,191,37,255,187,423,285,295,499,319,232
301,190,122,253,202,426,349,337,571,268,154
269,206,90,182,224,444,360,322,650,352,243
262,203,67,189,163,430,374,281,636,398,243
281,240,119,257,191,441,314,365,646,389,247
228,257,111,309,244,417,221,354,705,343,285
213,188,68,257,203,393,246,369,864,359,247
216,236,97,224,191,408,319,322,930,345,258
200,212,105,324,318,450,349,414,580,315,278
186,220,80,366,367,549,403,393,1054,370,353
188,266,188,275,436,577,403,545,959,380,317
247,280,150,449,498,621,447,519,985,381,334
269,330,150,432,460,689,460,579,1186,479,328
246,310,180,495,481,561,416,488,985,469,384
243,280,149,469,449,663,461,545,992,366,426
225,269,133,395,389,628,461,471,908,488,356
228,200,144,404,378,599,509,442,718,386,333
279,252,159,343,321,549,478,377,833,386,313
311,432,163,361,316,594,399,398,740,340,286
