periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere
2019-12-08,200,213,156.0,157,217,402,315,330,623,307,260
2019-12-15,232,125,123.0,249,218,373,290,295,598,232,173
2019-12-22,232,137,93.0,45,348,373,221,187,567,240,167
2019-12-29,231,141,59.0,45,136,242,252,158,638,195,111
2020-01-05,197,167,108.0,71,105,285,237,241,610,156,116
2020-01-12,173,202,131.0,118,83,272,236,265,595,190,130
2020-01-19,174,187,129.0,117,111,243,206,228,563,226,185
2020-01-26,171,189,115.0,115,132,220,222,258,538,231,154
2020-02-02,218,202,115.0,116,146,299,208,261,671,211,182
2020-02-09,162,201,122.0,129,161,292,251,257,653,174,148
2020-02-16,152,198,135.0,114,131,299,199,312,650,185,179
2020-02-23,159,200,124.0,171,152,368,261,291,634,187,161
2020-03-01,159,191,145.0,146,196,406,265,283,717,186,228
2020-03-08,156,185,161.0,177,140,287,283,307,654,198,130
2020-03-15,186,146,139.0,211,191,367,276,306,562,216,169
2020-03-22,169,177,147.0,235,185,403,253,327,630,203,197
2020-03-29,150,171,177.0,256,194,405,224,280,594,239,156
2020-04-05,146,183,158.0,179,204,363,247,311,464,233,185
2020-04-12,209,144,135.0,174,229,291,216,305,568,239,206
2020-04-19,216,263,135.0,219,244,373,237,385,651,173,236
2020-04-26,275,261,150.0,215,273,377,273,327,695,294,253
2020-05-03,327,360,146.0,207,265,342,275,415,683,285,264
2020-05-10,365,330,155.0,238,291,403,349,427,763,337,295
2020-05-17,355,352,136.0,262,374,425,386,452,660,347,253
2020-05-24,326,325,114.0,208,238,400,341,369,590,338,174
2020-05-31,416,301,117.0,209,351,485,363,411,710,354,300
2020-06-07,439,294,147.0,228,328,467,368,380,739,338,305
2020-06-14,429,324,116.0,189,321,440,336,405,705,313,261
2020-06-21,348,292,135.0,176,289,475,414,323,786,302,219
2020-06-28,332,221,113.0,210,368,503,355,376,690,318,188
2020-07-05,316,361,72.0,180,254,424,310,355,638,220,191
2020-07-12,306,233,83.0,194,199,375,308,300,693,299,156
2020-07-19,316,227,70.0,304,203,338,334,317,623,243,145
2020-07-26,285,219,75.0,154,265,396,299,306,617,273,182
2020-08-02,230,288,94.0,140,170,365,234,286,533,215,163
2020-08-09,250,195,73.0,147,222,435,283,298,615,311,172
2020-08-16,253,271,77.0,166,258,365,267,303,536,322,157
2020-08-23,229,234,93.0,338,185,342,250,334,639,229,162
2020-08-30,263,244,92.0,202,176,358,267,442,586,234,167
2020-09-06,244,220,91.0,302,263,395,296,443,682,318,224
2020-09-13,230,241,69.0,284,242,530,300,518,791,241,227
2020-09-20,255,221,90.0,290,166,381,299,527,787,223,206
2020-09-27,249,257,84.0,219,234,410,271,454,616,290,232
2020-10-04,245,195,114.0,200,238,421,235,443,721,301,196
2020-10-11,253,210,108.0,290,300,479,276,449,717,349,203
2020-10-18,250,250,88.0,373,277,442,350,452,654,220,207
2020-10-25,218,276,109.0,213,415,481,542,509,835,262,260
2020-11-01,238,253,121.0,269,387,559,509,487,780,237,241
2020-11-08,257,207,114.0,239,428,588,628,465,798,362,255
2020-11-15,260,256,133.0,271,382,568,645,425,680,354,263
2020-11-22,192,251,130.0,244,481,649,553,462,579,290,189
2020-11-29,255,273,145.0,310,333,516,424,387,615,340,209
2020-12-06,289,236,127.0,233,292,469,277,338,469,267,224
2020-12-13,268,187,132.0,191,224,384,285,288,379,241,175
2020-12-20,207,212,117.0,266,173,338,290,285,455,235,157
2020-12-27,408,387,197.0,426,223,663,479,547,874,501,243
2021-01-03,186,200,101.0,211,117,342,216,255,560,256,171
2021-01-10,174,226,125.0,184,96,427,269,283,636,260,195
2021-01-17,217,265,96.0,234,111,359,233,393,688,283,208
2021-01-24,186,274,108.0,245,146,389,285,321,758,310,247
2021-01-31,188,218,137.0,185,89,372,284,306,882,309,235
2021-02-07,193,179,130.0,232,103,398,279,351,594,358,230
2021-02-14,213,216,111.0,300,108,425,288,395,748,365,259
2021-02-21,242,251,112.0,304,137,421,322,316,735,445,273
2021-02-28,187,246,120.0,226,108,415,305,323,634,319,280
2021-03-07,168,163,119.0,466,119,416,291,346,572,301,247
2021-03-14,178,146,90.0,237,149,312,306,302,595,275,255
2021-03-21,192,175,111.0,248,140,336,308,260,543,252,303
2021-03-28,256,186,93.0,215,146,326,290,239,566,283,272
2021-04-04,277,195,98.0,286,186,327,329,279,607,312,292
2021-04-11,263,282,124.0,276,179,435,329,328,557,326,323
2021-04-18,406,329,99.0,350,216,389,376,343,518,344,321
2021-04-25,297,208,50.0,284,191,488,366,212,518,345,268
2021-05-02,318,284,104.0,262,197,442,328,310,601,329,295
2021-05-09,338,265,92.0,232,194,417,265,273,685,327,303
2021-05-16,396,369,122.0,254,186,528,369,350,665,424,393
2021-05-23,466,327,149.0,350,246,518,365,411,596,426,370
2021-05-30,357,312,97.0,228,188,391,350,415,576,402,325
2021-06-06,364,287,100.0,297,240,561,332,336,627,378,313
2021-06-13,309,330,144.0,219,269,544,347,365,598,424,273
2021-06-20,292,238,134.0,289,308,498,305,414,588,369,252
2021-06-27,311,211,94.0,275,286,525,380,358,618,366,255
2021-07-04,234,148,100.0,237,227,431,341,337,550,318,288
2021-07-11,231,172,120.0,246,203,446,292,295,473,306,245
2021-07-18,294,191,85.0,255,187,423,285,322,499,319,232
2021-07-25,301,190,122.0,253,202,426,349,338,571,268,239
2021-08-01,269,206,90.0,182,184,444,360,266,650,352,243
2021-08-08,262,203,67.0,228,163,430,374,310,636,398,243
2021-08-15,274,240,119.0,257,191,441,314,365,646,389,247
2021-08-22,228,257,111.0,309,192,417,308,354,705,343,285
2021-08-29,213,188,68.0,257,197,393,246,369,864,359,262
2021-09-05,216,236,97.0,224,191,408,319,322,930,328,258
2021-09-12,200,212,105.0,324,318,450,349,414,1046,390,278
2021-09-19,186,220,80.0,366,367,483,403,393,1054,370,353
2021-09-26,188,266,111.0,464,436,577,403,438,959,380,317
2021-10-03,247,275,150.0,449,498,621,447,519,1048,381,334
2021-10-10,269,293,150.0,432,480,689,460,579,1186,479,328
2021-10-17,246,310,180.0,495,481,561,416,488,1089,469,384
2021-10-24,243,280,149.0,469,449,643,461,545,992,458,426
2021-10-31,225,269,133.0,395,389,628,461,471,1120,488,356
2021-11-07,281,200,144.0,404,378,599,509,442,975,411,333
2021-11-14,279,252,159.0,343,304,549,478,377,833,386,313
2021-11-21,247,255,163.0,361,316,594,399,398,740,340,286
2021-11-28,263,252,143.0,275,338,576,351,427,606,337,285
2021-12-05,215,213,136.0,290,347,485,345,390,630,327,269
2021-12-12,303,200,129.0,245,357,452,344,324,594,344,229
2021-12-19,267,226,89.0,226,246,433,368,251,550,282,231
2021-12-26,240,180,113.0,275,229,419,286,328,701,277,237
2022-01-02,280,205,123.0,312,173,499,373,359,861,316,243
2022-01-09,239,226,114.0,294,161,526,337,337,765,318,229
2022-01-16,211,228,112.0,265,179,430,351,309,666,299,235
2022-01-23,237,184,126.0,273,149,507,343,318,607,299,268
2022-01-30,264,210,95.0,247,133,457,281,265,544,328,243
2022-02-06,215,191,91.0,226,114,412,255,246,517,352,226
2022-02-13,190,207,113.0,225,141,408,297,268,539,331,248
2022-02-20,189,208,96.0,240,101,401,305,270,694,343,239
2022-02-27,172,202,111.0,209,84,376,235,215,670,295,225
2022-03-06,205,196,118.0,229,79,394,254,241,614,296,261
2022-03-13,205,229,111.0,233,137,414,273,252,582,269,243
2022-03-20,230,254,128.0,295,154,395,297,276,718,304,276
2022-03-27,246,294,112.0,355,159,427,365,345,684,391,343
2022-04-03,250,282,170.0,308,308,488,277,281,664,324,318
2022-04-10,233,342,116.0,337,277,445,258,264,628,362,318
2022-04-17,294,306,157.0,358,289,478,314,294,595,333,296
2022-04-24,279,310,98.0,271,266,517,269,267,489,314,285
2022-05-01,295,287,116.0,321,279,526,337,361,637,332,297
2022-05-08,324,275,122.0,379,316,608,354,376,754,396,415
2022-05-15,411,295,163.0,347,315,658,337,414,735,395,458
2022-05-22,357,323,150.0,314,339,653,334,383,782,336,345
