"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
177,249.042918454936,120,93,156,320,169,306,536,180,176
143,249.042918454936,175,134,268.475,427.366666666667,206,266,500,182,267.070175438596
163,166,147,108,208,227,211,257,473,206,230
136,136,118,122,268.475,210,220,351.186147186147,449,216,258
122,144,134,93,201,204,184,191,466,294.825531914894,218
244.885106382979,249.042918454936,164,90,198,222,217,244,571,294.825531914894,172
135,163,157,226.097872340426,181,221,179,241,560,165,267.070175438596
127,249.042918454936,188,226.097872340426,268.475,222,192,281,628,144,216
144,138,158,170,182,198,197,351.186147186147,529,130,160
244.885106382979,198,170,115,207,232,218,301,647,179,167
168,212,196,181,313,317,256,289,640,214,267.070175438596
214,245,245,207,349,395,292,273,703,259,355
256,384,211,274,426,360,328,349,695.411016949153,299,380
264,343,137.852678571429,269,383,364,301,384,637,297,323
298,365,191,226.097872340426,411,373,334,355,617,303,379
310,249.042918454936,137.852678571429,226.097872340426,391,585,338,388,644,340,364
328,493,252,316,471,624,383,425,648,312,470
282,432,205,202,364,419,298,402,695.411016949153,291,443
316,346,218,196,367,459,325.873417721519,442,645,280,446
266,342,137.852678571429,226.097872340426,374,384,336,415,702,294.825531914894,395
244.885106382979,320,201,251,377,421,336,437,658,291,464
250,343,165,226.097872340426,397,511,332,351.186147186147,580,299,352
251,262,188,159,345,408,308,322,555,223,338
251,230,159,144,316,321,280,292,449,214,290
220,280,137.852678571429,171,395,423,332,405,635,249,302
244.885106382979,259,138,165,363,381,319,340,622,225,302
220,221,130,144,353,305,279,284,719,246,307
231,229,137.852678571429,114,309,317,318,306,608,227,334
264,192,116,136,317,300,239,288,674,216,268
251,252,131,226.097872340426,229,427.366666666667,238,305,647,206,264
228,178,111,179,229,308,195,351.186147186147,663,218,310
188,168,130,133,238,287,245,319,747,259,276
244.885106382979,178,135,167,176,324,254,352,707,238,286
192,155,151,163,143,264,325.873417721519,351.186147186147,614,206,248
196,207,161,187,249,332,240,377,695.411016949153,280,338
242,232,181,133,304,329,231,390,929,297,388
219,260,137.852678571429,211,333,399,249,426,695.411016949153,281,376
153,229,202,154,412,403,325.873417721519,436,943,307,363
211,203,189,274,268.475,438,305,441,927,294.825531914894,344
219,264,220,245,460,533,322,468,1050,298,322
238,277,270,318,599,682,357,616,1090,388,267.070175438596
260,332,260,311,603,674,429,692,1291,397,390
285,309,253,380,622,718,381,614,1294,461,400
318,355,223,325,588,602,391,592,695.411016949153,293,429
278,346,255,248,550,591,325.873417721519,577,908,385,413
218,311,196,227,466,651,386,426,985,382,335
244.885106382979,386,188,263,440,569,353,473,695.411016949153,378,335
250,298,137.852678571429,288,342,500,364,437,679,360,354
232,263,153,226.097872340426,353,470,258,338,637,291,223
188,276,119,138,271,437,252,324,686,259,173
164,249.042918454936,77,112,241,391,208,351.186147186147,556,183,241
107,185,226,114,147,325,194,274,500,122,146
244.885106382979,191,91,114,122,245,192,271,596,144,164
194,177,166,143,85,334,160,279,733,163,163
210,217,163,153,113,256,213,299,731,239,177
167,226,188,157,113,310,215,272,710,242,185
181,201,159,159,159,340,216,306,766,294.825531914894,492
227,233,173,146,139,427.366666666667,220,303,717,294.825531914894,183
199,192,200,160,162,338,225,351.186147186147,659,250,267.070175438596
279,234,208,174,177,337,282,330,540,295,191
227,251,131,162,175,326,293,293,633,236,267.070175438596
244.885106382979,270,164,155,203,291,277,309,613,228,227
250,280,137.852678571429,226.097872340426,219,341,281,311,586,259,290
243,340,225,270,268.475,350,296,374,599,287,276
281,403,137.852678571429,288,268.475,388,311,395,695.411016949153,304,450
300,456,137.852678571429,247,471,404,273,371,610,342,267.070175438596
328,389,205,258,429,435,347,352,577,274,327
349,458,270,340,331,450,295,401,683,294.825531914894,181
371,559,194,326,391,647,325.873417721519,455,808,341,396
299,498,237,226.097872340426,453,568,333,405,747,253,267.070175438596
294,459,218,196,426,427.366666666667,233,511,793,246,267.070175438596
244.885106382979,441,150,85,268.475,677,340,302,733,261,526
371,476,109,102,569,617,333,437,721,380,532
296,320,123,93,542,463,260,236,732,330,340
255,274,124,192,452,509,325.873417721519,456,623,267,281
244.885106382979,249.042918454936,206,183,425,628,334,466,757,317,146
308,379,161,166,510,575,451,399,800,294.825531914894,159
264,249.042918454936,168,204,362,522,381,351.186147186147,792,324,131
318,363,166,124,356,629,353,364,850,275,111
294,249.042918454936,98,215,261,557,368,409,695.411016949153,281,116
294,231,115,219,376,524,381,414,833,251,97
293,239,11,88,378,403,357,278,796,187,268
244.885106382979,234,127,165,391,451,384,351.186147186147,828,342,329
211,211,173,315,404,396,362,443,842,267,237
265,264,162,209,444,361,367,351.186147186147,962,304,301
278,196,79,81,389,490,366,351.186147186147,1041,265,267.070175438596
231,227,137.852678571429,71,506,377,338,19,1039,172,275
244,231,70,71,356,473,301,279,695.411016949153,284,267.070175438596
221,184,37,80,403,499,381,393,695.411016949153,294.825531914894,363
273,236,137.852678571429,77,375,484,367,347,988,286,263
182,241,137.852678571429,226.097872340426,443,494,406,367,954,330,283
197,264,205,231,543,484,326,551,1095,328,281
190,206,196,271,497,493,275,660,1128,340,267.070175438596
255,229,244,286,577,501,371,622,1214,294.825531914894,352
214,313,195,241,402,460,373,564,1198,339,383
251,277,185,407,406,497,396,491,695.411016949153,313,401
212,217,169,231,347,434,384,460,907,340,340
209,214,180,261,279,407,325.873417721519,363,874,342,305
217,229,162,317,268.475,410,346,413,793,322,267.070175438596
244.885106382979,268,147,193,183,384,359,351.186147186147,783,268,256
200,213,156,157,217,402,325.873417721519,330,623,307,260
232,125,123,249,218,373,325.873417721519,295,598,232,173
232,137,137.852678571429,45,348,373,221,187,567,240,267.070175438596
244.885106382979,141,59,45,136,242,252,351.186147186147,695.411016949153,195,111
