Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere
230.0,254.0,128.0,295.0,,395.0,297.0,276.0,718.0,304.0,276.0
246.0,294.0,112.0,355.0,,427.0,365.0,345.0,684.0,391.0,343.0
,282.0,170.0,308.0,308.0,488.0,277.0,281.0,664.0,324.0,318.0
233.0,342.0,116.0,,277.0,445.0,258.0,264.0,628.0,362.0,318.0
294.0,306.0,157.0,358.0,289.0,478.0,314.0,294.0,595.0,333.0,296.0
279.0,310.0,98.0,,266.0,517.0,269.0,267.0,489.0,314.0,285.0
295.0,287.0,116.0,321.0,279.0,526.0,337.0,361.0,637.0,332.0,297.0
324.0,275.0,122.0,379.0,316.0,608.0,354.0,376.0,754.0,396.0,415.0
411.0,295.0,163.0,347.0,315.0,658.0,337.0,414.0,735.0,395.0,458.0
,323.0,150.0,314.0,339.0,653.0,334.0,383.0,782.0,336.0,345.0
363.0,264.0,,316.0,,728.0,326.0,397.0,723.0,349.0,358.0
,280.0,173.0,296.0,269.0,698.0,488.0,,723.0,,290.0
318.0,294.0,141.0,262.0,295.0,,1053.0,364.0,666.0,366.0,316.0
326.0,,127.0,218.0,296.0,531.0,,302.0,644.0,336.0,306.0
247.0,230.0,104.0,,,,460.0,285.0,570.0,290.0,285.0
264.0,232.0,138.0,220.0,,486.0,748.0,354.0,723.0,315.0,266.0
,238.0,131.0,220.0,193.0,565.0,918.0,300.0,598.0,355.0,
310.0,280.0,150.0,217.0,205.0,520.0,791.0,288.0,614.0,345.0,250.0
258.0,266.0,141.0,251.0,183.0,,,305.0,623.0,314.0,235.0
266.0,222.0,129.0,216.0,114.0,,646.0,355.0,731.0,289.0,264.0
265.0,221.0,126.0,220.0,94.0,382.0,,309.0,730.0,317.0,263.0
244.0,203.0,144.0,175.0,123.0,352.0,556.0,322.0,661.0,287.0,217.0
219.0,242.0,129.0,171.0,104.0,278.0,456.0,256.0,614.0,334.0,215.0
224.0,180.0,103.0,164.0,114.0,281.0,410.0,308.0,644.0,301.0,230.0
275.0,170.0,117.0,226.0,79.0,314.0,385.0,303.0,706.0,,228.0
,187.0,146.0,218.0,,295.0,344.0,317.0,670.0,287.0,
211.0,,114.0,205.0,159.0,,347.0,281.0,625.0,382.0,229.0
196.0,146.0,111.0,181.0,101.0,279.0,332.0,301.0,633.0,,183.0
210.0,151.0,122.0,237.0,158.0,342.0,295.0,315.0,693.0,292.0,214.0
176.0,147.0,91.0,244.0,173.0,343.0,308.0,226.0,649.0,325.0,214.0
202.0,143.0,124.0,257.0,,404.0,,275.0,689.0,303.0,203.0
176.0,144.0,135.0,,208.0,,365.0,287.0,761.0,296.0,282.0
,154.0,98.0,273.0,229.0,450.0,306.0,269.0,673.0,261.0,242.0
160.0,157.0,127.0,261.0,165.0,427.0,380.0,227.0,570.0,251.0,226.0
234.0,174.0,138.0,,198.0,449.0,320.0,257.0,614.0,260.0,232.0
158.0,,110.0,224.0,174.0,360.0,303.0,184.0,537.0,260.0,182.0
187.0,170.0,,205.0,158.0,375.0,263.0,201.0,565.0,265.0,189.0
164.0,167.0,104.0,201.0,132.0,369.0,200.0,182.0,521.0,221.0,160.0
,186.0,88.0,217.0,83.0,339.0,194.0,190.0,520.0,214.0,163.0
170.0,,77.0,178.0,84.0,333.0,173.0,187.0,441.0,167.0,206.0
190.0,144.0,81.0,163.0,85.0,344.0,189.0,206.0,449.0,204.0,144.0
