Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere
332,221,113.0,210,368,503,355,376,690,318,188
316,361,72.0,180,254,424,310,355,638,220,191
306,233,83.0,194,199,375,308,300,693,299,156
316,227,70.0,304,203,338,334,317,623,243,145
285,219,75.0,154,265,396,299,306,617,273,182
230,288,94.0,140,170,365,234,286,533,215,163
250,195,73.0,147,222,435,283,298,615,311,172
253,271,77.0,166,258,365,267,303,536,322,157
229,234,93.0,338,185,342,250,334,639,229,162
263,244,92.0,202,176,358,267,442,586,234,167
244,220,91.0,302,263,395,296,443,682,318,224
230,241,69.0,284,242,530,300,518,791,241,227
255,221,90.0,290,166,381,299,527,787,223,206
249,257,84.0,219,234,410,271,454,616,290,232
245,195,114.0,200,238,421,235,443,721,301,196
253,210,108.0,290,300,479,276,449,717,349,203
250,250,88.0,373,277,442,350,452,654,220,207
218,276,109.0,213,415,481,542,509,835,262,260
238,253,121.0,269,387,559,509,487,780,237,241
257,207,114.0,239,428,588,628,465,798,362,255
260,256,133.0,271,382,568,645,425,680,354,263
192,251,130.0,244,481,649,553,462,579,290,189
255,273,145.0,310,333,516,424,387,615,340,209
289,236,127.0,233,292,469,277,338,469,267,224
268,187,132.0,191,224,384,285,288,379,241,175
207,212,117.0,266,173,338,290,285,455,235,157
408,387,197.0,426,223,663,479,547,874,501,243
186,200,101.0,211,117,342,216,255,560,256,171
174,226,125.0,184,96,427,269,283,636,260,195
217,265,96.0,234,111,359,233,393,688,283,208
186,274,108.0,245,146,389,285,321,758,310,247
188,218,137.0,185,89,372,284,306,882,309,235
193,179,130.0,232,103,398,279,351,594,358,230
213,216,111.0,300,108,425,288,395,748,365,259
242,251,112.0,304,137,421,322,316,735,445,273
187,246,120.0,226,108,415,305,323,634,319,280
168,163,119.0,466,119,416,291,346,572,301,247
178,146,90.0,237,149,312,306,302,595,275,255
192,175,111.0,248,140,336,308,260,543,252,303
256,186,93.0,215,146,326,290,239,566,283,272
277,195,98.0,286,186,327,329,279,607,312,292
263,282,124.0,276,179,435,329,328,557,326,323
406,329,99.0,350,216,389,376,343,518,344,321
297,208,50.0,284,191,488,366,212,518,345,268
318,284,104.0,262,197,442,328,310,601,329,295
338,265,92.0,232,194,417,265,273,685,327,303
396,369,122.0,254,186,528,369,350,665,424,393
466,327,149.0,350,246,518,365,411,596,426,370
